nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
14,14,12131,brute_force,1631,0.0,2.4421406670007855
14,14,12131,recursive,1631,0.0,2.045654415996978
14,14,12131,iterative,1615,0.0,2.032508250005776
14,14,234122,brute_force,1618,0.082,0.8155345830018632
14,14,234122,recursive,1715,0.082,0.3983828329946846
14,14,234122,iterative,1637,0.07507507507507508,0.501105750008719
14,14,389833,brute_force,1595,0.072,1.632865124993259
14,14,389833,recursive,1672,0.072,1.2176634999923408
14,14,389833,iterative,1595,0.072,1.25285587500548
14,15,12131,brute_force,1672,0.07784431137724551,1.659136166999815
14,15,12131,recursive,1672,0.07784431137724551,0.8011976669949945
14,15,12131,iterative,1670,0.07784431137724551,0.7240432499966118
14,15,234122,brute_force,1567,0.08591408591408592,1.615205958019942
14,15,234122,recursive,1535,0.08591408591408592,0.5893408339761663
14,15,234122,iterative,1501,0.07884231536926148,0.801772833976429
14,15,389833,brute_force,1658,0.09290709290709291,1.1814589169807732
14,15,389833,recursive,1658,0.09290709290709291,0.304213958006585
14,15,389833,iterative,1573,0.09290709290709291,0.3428060839942191
14,16,12131,brute_force,1559,0.07707707707707707,2.9618516659829766
14,16,12131,recursive,1559,0.07707707707707707,1.0566962499869987
14,16,12131,iterative,1535,0.07707707707707707,0.9828916669939645
14,16,234122,brute_force,1523,0.0899100899100899,2.6806158749968745
14,16,234122,recursive,1523,0.0899100899100899,0.8152669160044752
14,16,234122,iterative,1533,0.0899100899100899,0.7979677080002148
14,16,389833,brute_force,1625,0.0979020979020979,2.2123843749868684
14,16,389833,recursive,1625,0.0979020979020979,0.3608652919938322
14,16,389833,iterative,1621,0.0979020979020979,0.33026258400059305
14,17,12131,brute_force,1581,0.07577268195413758,7.621996000001673
14,17,12131,recursive,1589,0.07577268195413758,4.073509249981726
14,17,12131,iterative,1585,0.07577268195413758,4.291268790984759
14,17,234122,brute_force,1618,0.08682634730538923,4.254663875006372
14,17,234122,recursive,1618,0.08682634730538923,0.34913416698691435
14,17,234122,iterative,1618,0.08682634730538923,0.5153704579861369
14,17,389833,brute_force,1665,0.09281437125748503,4.327440291002858
14,17,389833,recursive,1635,0.09281437125748503,0.5144379159901291
14,17,389833,iterative,1635,0.09281437125748503,0.5490380839910358
14,18,12131,brute_force,1553,0.08691308691308691,10.164599290990736
14,18,12131,recursive,1544,0.08691308691308691,2.227367957995739
14,18,12131,iterative,1528,0.08691308691308691,2.5994090829917695
14,18,234122,brute_force,1652,0.093,10.169276208005613
14,18,234122,recursive,1597,0.092,2.1358992499881424
14,18,234122,iterative,1649,0.093,1.9964433329878375
14,18,389833,brute_force,1677,0.091,8.938896999985445
14,18,389833,recursive,1677,0.091,0.7944176669989247
14,18,389833,iterative,1618,0.091,0.8295307079970371
14,19,12131,brute_force,1641,0.092,18.17747783300001
14,19,12131,recursive,1641,0.07884231536926148,1.7397714170219842
14,19,12131,iterative,1626,0.08383233532934131,1.627167875005398
14,19,234122,brute_force,1527,0.092,19.13075250000111
14,19,234122,recursive,1541,0.092,1.9740308750187978
14,19,234122,iterative,1547,0.092,2.1408754579897504
14,19,389833,brute_force,1544,0.08574277168494517,19.859266832994763
14,19,389833,recursive,1529,0.092,3.0533268330036663
14,19,389833,iterative,1527,0.08708708708708708,3.1624449999944773
14,20,12131,brute_force,1596,0.08691308691308691,36.1890269999858
14,20,12131,recursive,1557,0.08691308691308691,1.618114125012653
14,20,12131,iterative,1570,0.08691308691308691,1.4302626669814344
14,20,234122,brute_force,1569,0.09109109109109109,37.16690208300133
14,20,234122,recursive,1556,0.09109109109109109,1.9500706249964423
14,20,234122,iterative,1583,0.09109109109109109,2.4221396670036484
14,20,389833,brute_force,1665,0.09661354581673307,36.02615762499045
14,20,389833,recursive,1652,0.0871743486973948,1.2352537920232862
14,20,389833,iterative,1650,0.10159362549800798,1.2083734170009848
14,21,12131,brute_force,1647,0.098,74.18644487499841
14,21,12131,recursive,1627,0.098,1.4789291670022067
14,21,12131,iterative,1593,0.0969030969030969,1.3130050420004409
14,21,234122,recursive,1533,0.093,2.181290334003279
14,21,234122,iterative,1509,0.093,2.5991149159963243
14,21,389833,recursive,1566,0.0871743486973948,1.2776199580112007
14,21,389833,iterative,1573,0.09309309309309309,1.1284942500060424
14,22,12131,recursive,1642,0.09127382146439318,3.182496916007949
14,22,12131,iterative,1594,0.09127382146439318,3.064224457979435
14,22,234122,recursive,1585,0.0940940940940941,1.9779401670093648
14,22,234122,iterative,1595,0.0940940940940941,1.9623570419789758
14,22,389833,recursive,1484,0.09127382146439318,1.9314083750068676
14,22,389833,iterative,1482,0.09127382146439318,1.8701185410027392
14,23,12131,recursive,1578,0.09870388833499502,1.1998910830006935
14,23,12131,iterative,1581,0.09870388833499502,1.2910764580010436
14,23,234122,recursive,1575,0.0920920920920921,5.761610707995715
14,23,234122,iterative,1593,0.092,6.738770833995659
14,23,389833,recursive,1586,0.0960960960960961,2.7173451670096256
14,23,389833,iterative,1590,0.0960960960960961,2.627492958010407
14,24,12131,recursive,1503,0.09780439121756487,2.174812250013929
14,24,12131,iterative,1503,0.09780439121756487,1.9087940420140512
14,24,234122,recursive,1602,0.09509509509509509,6.561510459025158
14,24,234122,iterative,1591,0.09509509509509509,8.669263999996474
14,24,389833,recursive,1629,0.09780439121756487,1.4413504579861183
14,24,389833,iterative,1629,0.09780439121756487,1.061449500004528
14,25,12131,recursive,1574,0.09172482552342971,2.204724500013981
14,25,12131,iterative,1545,0.09172482552342971,2.452537625009427
14,25,234122,recursive,1559,0.0999000999000999,1.3130465419963002
14,25,234122,iterative,1559,0.0999000999000999,1.0684758340066765
14,25,389833,recursive,1599,0.10179640718562874,0.7998496250074822
14,25,389833,iterative,1600,0.10179640718562874,0.5861314999929164
14,26,12131,recursive,1540,0.0990990990990991,1.8894412090012338
14,26,12131,iterative,1506,0.0990990990990991,1.7984006660117302
14,26,234122,recursive,1590,0.0979020979020979,1.3841321669751778
14,26,234122,iterative,1619,0.0979020979020979,1.5360290419775993
14,26,389833,recursive,1619,0.093,3.664032792003127
14,26,389833,iterative,1580,0.093,4.312929000006989
14,27,12131,recursive,1522,0.0989010989010989,1.4622984169982374
14,27,12131,iterative,1529,0.0989010989010989,0.8720118330093101
14,27,234122,recursive,1553,0.09509509509509509,2.7215647909906693
14,27,234122,iterative,1550,0.0970970970970971,2.410407374991337
14,27,389833,recursive,1544,0.09281437125748503,4.555523041984998
14,27,389833,iterative,1533,0.09281437125748503,5.621400834002998
14,28,12131,recursive,1553,0.098,1.8788567500014324
14,28,12131,iterative,1573,0.0970970970970971,1.9530592079972848
14,28,234122,recursive,1555,0.09780439121756487,2.721779375016922
14,28,234122,iterative,1565,0.1,2.103163166990271
14,28,389833,recursive,1595,0.1031031031031031,1.8864947909896728
14,28,389833,iterative,1606,0.1031031031031031,1.6659238749998622
14,29,12131,recursive,1513,0.0980980980980981,1.9650813749758527
14,29,12131,iterative,1524,0.0980980980980981,1.5859471670119092
14,29,234122,recursive,1507,0.09490509490509491,4.7900670419912785
14,29,234122,iterative,1527,0.09490509490509491,4.506936999998288
14,29,389833,recursive,1593,0.1,1.8221557080105413
14,29,389833,iterative,1592,0.1,1.1558284170168918
14,30,12131,recursive,1553,0.0969030969030969,1.926815082988469
14,30,12131,iterative,1566,0.0969030969030969,1.2000761670060456
14,30,234122,recursive,1546,0.09919839679358718,2.0636297079909127
14,30,234122,iterative,1562,0.1,1.7208899169927463
14,30,389833,recursive,1582,0.099,6.363533416995779
14,30,389833,iterative,1575,0.0989010989010989,5.626328000013018
14,31,12131,recursive,1509,0.099,2.711351582984207
14,31,12131,iterative,1510,0.099,1.7674354999908246
14,31,234122,recursive,1559,0.10521042084168336,3.0805276249884628
14,31,234122,iterative,1558,0.101,1.4931642080191523
14,31,389833,recursive,1531,0.0999000999000999,3.611985708004795
14,31,389833,iterative,1525,0.0999000999000999,1.874569291016087
14,32,12131,recursive,1504,0.1,3.486581292003393
14,32,12131,iterative,1486,0.1,1.6978737089957576
14,32,234122,recursive,1616,0.10441767068273092,2.6858359170146286
14,32,234122,iterative,1653,0.10531594784353059,1.150527374993544
14,32,389833,recursive,1486,0.10079840319361277,3.5004199169925414
14,32,389833,iterative,1526,0.0999000999000999,1.947734290995868
14,33,12131,recursive,1498,0.1,4.256259999994654
14,33,12131,iterative,1507,0.099,1.6468317079998087
14,33,234122,recursive,1595,0.104,3.367845375003526
14,33,234122,iterative,1587,0.104,0.9572943750245031
14,33,389833,recursive,1510,0.0990990990990991,4.390444624994416
14,33,389833,iterative,1535,0.0999000999000999,1.4287075840111356
14,34,12131,recursive,1532,0.1001001001001001,4.922728709003422
14,34,12131,iterative,1522,0.1001001001001001,1.425430667004548
14,34,234122,recursive,1485,0.09919839679358718,5.667841457994655
14,34,234122,iterative,1514,0.09619238476953908,2.5302524580038153
14,34,389833,recursive,1522,0.09819639278557114,5.819441875006305
14,34,389833,iterative,1537,0.10020040080160321,1.8326273749989923
14,35,12131,recursive,1515,0.098,7.445391749992268
14,35,12131,iterative,1515,0.1,2.8703634580015205
14,35,234122,recursive,1509,0.10079840319361277,5.67314187498414
14,35,234122,iterative,1509,0.10079840319361277,1.0532548750052229
14,35,389833,recursive,1490,0.0969030969030969,7.392414041998563
14,35,389833,iterative,1502,0.0969030969030969,1.7375507499964442
14,36,12131,recursive,1461,0.0998003992015968,9.81606929100235
14,36,12131,iterative,1482,0.10020040080160321,2.9492474170110654
14,36,234122,recursive,1501,0.09819639278557114,7.943770417012274
14,36,234122,iterative,1479,0.09819639278557114,1.6557426659855992
14,36,389833,recursive,1520,0.1001001001001001,9.127314332989044
14,36,389833,iterative,1534,0.1001001001001001,2.076879291998921
14,37,12131,recursive,1475,0.0970970970970971,11.885683500004234
14,37,12131,iterative,1466,0.0970970970970971,2.8949645409884397
14,37,234122,recursive,1471,0.09860557768924302,12.760361874999944
14,37,234122,iterative,1482,0.09860557768924302,2.505255500000203
14,37,389833,recursive,1505,0.101,10.97127987499698
14,37,389833,iterative,1498,0.101,2.06549675000133
14,38,12131,recursive,1486,0.09880239520958084,13.089676542003872
14,38,12131,iterative,1467,0.09880239520958084,2.2680196249857545
