nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
20,20,12131,brute_force,1557,0.05005005005005005,192.04854954098118
20,20,12131,recursive,1585,0.05005005005005005,28.887484041042626
20,20,12131,iterative,1696,0.05094905094905095,32.23043970897561
20,20,234122,recursive,1634,0.05888223552894212,5.08635062497342
20,20,234122,iterative,1765,0.060939060939060936,7.8980990829877555
20,20,389833,recursive,1699,0.05089820359281437,28.712669875007123
20,20,389833,iterative,1734,0.05089820359281437,37.10319299995899
20,21,12131,recursive,1682,0.055055055055055056,23.961414583958685
20,21,12131,iterative,1674,0.053,33.74963433301309
20,21,234122,recursive,1684,0.058941058941058944,5.7014851669664495
20,21,234122,iterative,1721,0.058941058941058944,4.386525625013746
20,21,389833,recursive,1662,0.05905905905905906,3.324577707971912
20,21,389833,iterative,1663,0.05905905905905906,4.0457208750303835
20,22,12131,recursive,1681,0.05811623246492986,9.144495417014696
20,22,12131,iterative,1638,0.057,7.885597749962471
20,22,234122,recursive,1706,0.06406406406406406,10.048439082980622
20,22,234122,iterative,1703,0.062,8.21342366602039
20,22,389833,recursive,1696,0.05805805805805806,5.8097963749896735
20,22,389833,iterative,1769,0.06619859578736209,5.90529033303028
20,23,12131,recursive,1659,0.062062062062062065,3.0695153329870664
20,23,12131,iterative,1649,0.062062062062062065,6.186054166057147
20,23,234122,recursive,1719,0.06212424849699399,11.126609250030015
20,23,234122,iterative,1622,0.0658682634730539,8.038646125001833
20,23,389833,recursive,1699,0.061,4.560133749968372
20,23,389833,iterative,1659,0.062062062062062065,8.291556458978448
20,24,12131,recursive,1635,0.063,7.674328749999404
20,24,12131,iterative,1626,0.064,9.017387958010659
20,24,234122,recursive,1595,0.06306306306306306,5.894006583024748
20,24,234122,iterative,1643,0.06306306306306306,6.175192499998957
20,24,389833,recursive,1639,0.0658682634730539,11.788444667006843
20,24,389833,iterative,1641,0.0658682634730539,11.501250790955964
20,25,12131,recursive,1599,0.065,12.889953958045226
20,25,12131,iterative,1611,0.065,7.104417708993424
20,25,234122,recursive,1646,0.06306306306306306,9.36405079101678
20,25,234122,iterative,1613,0.06306306306306306,12.581637082970701
20,25,389833,recursive,1635,0.061938061938061936,6.65502279199427
20,25,389833,iterative,1629,0.061938061938061936,5.3995284170378
20,26,12131,recursive,1571,0.06187624750499002,16.457313249993604
20,26,12131,iterative,1578,0.06187624750499002,35.11339199997019
