nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
15,15,12131,brute_force,1726,0.06806806806806807,3.1841198340116534
15,15,12131,recursive,1726,0.06806806806806807,2.2375835830171127
15,15,12131,iterative,1695,0.06806806806806807,2.309937165991869
15,15,234122,brute_force,1607,0.06793206793206794,1.8264311669918243
15,15,234122,recursive,1607,0.06793206793206794,0.9218707919935696
15,15,234122,iterative,1607,0.06793206793206794,0.8896410419838503
15,15,389833,brute_force,1660,0.08016032064128256,1.6877854579943232
15,15,389833,recursive,1681,0.08016032064128256,0.757683083997108
15,15,389833,iterative,1674,0.07907907907907907,0.8911594999954104
15,16,12131,brute_force,1574,0.074,3.623485374992015
15,16,12131,recursive,1574,0.074,1.5461519999953452
15,16,12131,iterative,1576,0.074,1.7380997500149533
15,16,234122,brute_force,1580,0.07807807807807808,2.541658958012704
15,16,234122,recursive,1580,0.07807807807807808,0.6968079999787733
15,16,234122,iterative,1563,0.07807807807807808,0.5679900830145925
15,16,389833,brute_force,1716,0.07592407592407592,2.3538240420166403
15,16,389833,recursive,1716,0.07592407592407592,0.4049496669904329
15,16,389833,iterative,1637,0.07592407592407592,0.6252914999786299
15,17,12131,brute_force,1597,0.075,4.651798332983162
15,17,12131,recursive,1597,0.075,0.5587561670108698
15,17,12131,iterative,1541,0.075,1.1340600410185289
15,17,234122,brute_force,1608,0.07414829659318638,5.515759166999487
15,17,234122,recursive,1621,0.07414829659318638,1.4387787499872502
15,17,234122,iterative,1645,0.076,1.899561124999309
15,17,389833,brute_force,1580,0.07992007992007992,4.885363582987338
15,17,389833,recursive,1580,0.07992007992007992,0.736941624985775
15,17,389833,iterative,1605,0.07992007992007992,0.7586569160048384
15,18,12131,brute_force,1580,0.07692307692307693,10.513077041017823
15,18,12131,recursive,1580,0.07692307692307693,1.3750373750226572
15,18,12131,iterative,1502,0.07692307692307693,1.5591746660065837
15,18,234122,brute_force,1686,0.07577268195413758,10.04310962499585
15,18,234122,recursive,1686,0.07577268195413758,1.4230990829819348
15,18,234122,iterative,1648,0.07676969092721835,1.367340333003085
15,18,389833,brute_force,1642,0.07692307692307693,10.028112708008848
15,18,389833,recursive,1642,0.07692307692307693,1.0155750839912798
15,18,389833,iterative,1654,0.07692307692307693,1.3707390830095392
15,19,12131,brute_force,1685,0.07884231536926148,18.897321208991343
15,19,12131,recursive,1653,0.07884231536926148,0.9604730840073898
15,19,12131,iterative,1683,0.07884231536926148,1.1903591669979505
15,19,234122,brute_force,1596,0.09290709290709291,19.759787040995434
15,19,234122,recursive,1565,0.085,1.4980061250098515
15,19,234122,iterative,1647,0.09290709290709291,1.6851811670057941
15,19,389833,brute_force,1522,0.07507507507507508,19.653184875001898
15,19,389833,recursive,1522,0.07507507507507508,1.4525927500217222
15,19,389833,iterative,1532,0.07507507507507508,2.0215289589832537
15,20,12131,brute_force,1597,0.084,38.773615458019776
15,20,12131,recursive,1665,0.084,1.4461859999864828
15,20,12131,iterative,1675,0.0899100899100899,1.9253383750037756
15,20,234122,brute_force,1608,0.09109109109109109,39.372882625000784
15,20,234122,recursive,1623,0.09109109109109109,1.484911417006515
15,20,234122,iterative,1609,0.09,1.6979904579930007
15,20,389833,brute_force,1585,0.083,38.963429875002475
15,20,389833,recursive,1565,0.083,1.0980219579942059
15,20,389833,iterative,1656,0.08665338645418327,1.1452319999807514
15,21,12131,brute_force,1623,0.08708708708708708,80.08728575002169
15,21,12131,recursive,1618,0.08708708708708708,1.0881706250074785
15,21,12131,iterative,1578,0.08708708708708708,0.997905832977267
15,21,234122,recursive,1580,0.093,1.2136312919901684
15,21,234122,iterative,1580,0.093,1.212872417003382
15,21,389833,recursive,1585,0.0871743486973948,0.7146081250102725
15,21,389833,iterative,1605,0.0871743486973948,0.8228532919893041
15,22,12131,recursive,1540,0.0890890890890891,2.838262000004761
15,22,12131,iterative,1552,0.08708708708708708,3.0004174589994363
15,22,234122,recursive,1591,0.0940940940940941,0.8334101249929518
15,22,234122,iterative,1595,0.0940940940940941,1.1453727500047535
15,22,389833,recursive,1554,0.084,1.2568919160112273
15,22,389833,iterative,1508,0.084,1.3822662500024308
15,23,12131,recursive,1586,0.08408408408408409,4.186355499987258
15,23,12131,iterative,1614,0.081,5.177324082993437
15,23,234122,recursive,1541,0.0920920920920921,1.3486579159798566
15,23,234122,iterative,1541,0.0920920920920921,1.7029032919963356
15,23,389833,recursive,1639,0.0940940940940941,1.3835992089880165
15,23,389833,iterative,1687,0.0940940940940941,1.431872832996305
15,24,12131,recursive,1538,0.0919080919080919,2.73920862498926
15,24,12131,iterative,1538,0.0919080919080919,2.85102945799008
15,24,234122,recursive,1567,0.09,2.1604372920119204
