nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
7,7,12131,brute_force,1611,0.14685314685314685,0.15172249998431653
7,7,12131,recursive,1611,0.14685314685314685,0.14669437499833293
7,7,12131,iterative,1611,0.14685314685314685,0.1446607079997193
7,7,234122,brute_force,1502,0.0,0.18040129201835953
7,7,234122,recursive,1502,0.0,0.19546804099809378
7,7,234122,iterative,1374,0.0,0.18184454200672917
7,7,389833,brute_force,1508,0.16983016983016982,0.062085417011985555
7,7,389833,recursive,1508,0.16983016983016982,0.06938958301907405
7,7,389833,iterative,1508,0.16983016983016982,0.07457483300822787
7,8,12131,brute_force,1532,0.155,0.09217920800438151
7,8,12131,recursive,1532,0.155,0.08251983299851418
7,8,12131,iterative,1532,0.155,0.08062658400740474
7,8,234122,brute_force,1372,0.15269461077844312,0.12307899998268113
7,8,234122,recursive,1372,0.15269461077844312,0.12258162500802428
7,8,234122,iterative,1372,0.15269461077844312,0.12231095801689662
7,8,389833,brute_force,1496,0.155,0.06406108400551602
7,8,389833,recursive,1496,0.155,0.06638262499473058
7,8,389833,iterative,1496,0.155,0.08066258300095797
7,9,12131,brute_force,1584,0.15984015984015984,0.08687170900520869
7,9,12131,recursive,1584,0.15984015984015984,0.08292662500753067
7,9,12131,iterative,1584,0.15984015984015984,0.07786804100032896
7,9,234122,brute_force,1611,0.18281718281718282,0.09393416700186208
7,9,234122,recursive,1611,0.18281718281718282,0.08877670799847692
7,9,234122,iterative,1611,0.18281718281718282,0.10364054099773057
7,9,389833,brute_force,1365,0.178,0.13380270899506286
7,9,389833,recursive,1365,0.178,0.1444755420088768
7,9,389833,iterative,1406,0.185,0.13811229198472574
7,10,12131,brute_force,1521,0.168,0.24234558298485354
7,10,12131,recursive,1521,0.168,0.2334927080082707
7,10,12131,iterative,1521,0.168,0.2358569579955656
7,10,234122,brute_force,1498,0.19119119119119118,0.19268341700080782
7,10,234122,recursive,1498,0.19119119119119118,0.18790766698657535
7,10,234122,iterative,1498,0.19119119119119118,0.18617137501132675
7,10,389833,brute_force,1380,0.15415415415415415,0.18464666599174961
7,10,389833,recursive,1380,0.15415415415415415,0.17672204101108946
7,10,389833,iterative,1380,0.15415415415415415,0.19683420899673365
7,11,12131,brute_force,1446,0.175,0.1403162920032628
7,11,12131,recursive,1446,0.175,0.12398808301077224
7,11,12131,iterative,1470,0.175,0.12024345799000002
7,11,234122,brute_force,1392,0.16016016016016016,0.21276662501622923
7,11,234122,recursive,1374,0.16016016016016016,0.1980485419917386
7,11,234122,iterative,1374,0.16016016016016016,0.19071870800689794
7,11,389833,brute_force,1455,0.163,0.2971940829884261
7,11,389833,recursive,1455,0.163,0.28404912498081103
7,11,389833,iterative,1455,0.163,0.24881266700685956
7,12,12131,brute_force,1335,0.16983016983016982,0.8718417909985874
7,12,12131,recursive,1348,0.16983016983016982,0.8760072919831146
7,12,12131,iterative,1345,0.15884115884115885,0.9170204999973066
7,12,234122,brute_force,1461,0.15915915915915915,1.6515084170096088
7,12,234122,recursive,1461,0.15915915915915915,1.5424656250106636
7,12,234122,iterative,1461,0.15915915915915915,1.427783624996664
7,12,389833,brute_force,1389,0.174,0.47178979200543836
7,12,389833,recursive,1389,0.174,0.41260366601636633
7,12,389833,iterative,1389,0.174,0.39029862501774915
7,13,12131,brute_force,1349,0.1848151848151848,0.29747412499273196
7,13,12131,recursive,1349,0.1848151848151848,0.2331457499822136
7,13,12131,iterative,1349,0.1848151848151848,0.2042237080167979
7,13,234122,brute_force,1364,0.16283716283716285,0.5945554579957388
7,13,234122,recursive,1381,0.179,0.5156979580060579
7,13,234122,iterative,1361,0.16283716283716285,0.506232000014279
7,13,389833,brute_force,1451,0.187,0.2918280419835355
7,13,389833,recursive,1451,0.187,0.19705962497391738
7,13,389833,iterative,1461,0.187,0.21202633398934267
7,14,12131,brute_force,1454,0.1848151848151848,0.5794673329801299
7,14,12131,recursive,1454,0.1848151848151848,0.444559958006721
7,14,12131,iterative,1454,0.1848151848151848,0.33903708300204016
7,14,234122,brute_force,1527,0.179,0.7370852089952677
7,14,234122,recursive,1486,0.179,0.49409416600246914
7,14,234122,iterative,1498,0.179,0.508742624981096
7,14,389833,brute_force,1479,0.1838161838161838,0.43979800000670366
7,14,389833,recursive,1479,0.1838161838161838,0.22604562499327585
7,14,389833,iterative,1479,0.1838161838161838,0.2206380830029957
7,15,12131,brute_force,1410,0.18662674650698602,0.5950045410136227
7,15,12131,recursive,1410,0.18662674650698602,0.1599413329968229
7,15,12131,iterative,1410,0.18662674650698602,0.11889529100153595
7,15,234122,brute_force,1551,0.2012012012012012,0.6031083330162801
7,15,234122,recursive,1551,0.2012012012012012,0.16655716698733158
7,15,234122,iterative,1566,0.1978021978021978,0.13353324998752214
7,15,389833,brute_force,1425,0.1931931931931932,0.8477511249948293
