nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
3,3,12131,iterative,True,1611,0.417,2.307717874995433
3,3,234122,iterative,True,1226,0.0,2.2768540830002166
3,3,389833,iterative,True,1044,0.0,2.369721250026487
3,4,12131,iterative,True,1280,0.34,2.275446749990806
3,4,234122,iterative,True,1377,0.362,2.2748072919785045
3,4,389833,iterative,True,1267,0.36663336663336665,2.3023637080332264
3,5,12131,iterative,True,1435,0.341,2.2964216669788584
3,5,234122,iterative,True,1190,0.34865134865134867,2.267153957975097
3,5,389833,iterative,True,1170,0.0,2.3416092499974184
3,6,12131,iterative,True,1402,0.42742742742742745,2.3340932080172934
3,6,234122,iterative,True,1211,0.37,2.3235459590214305
3,6,389833,iterative,True,1460,0.4084084084084084,2.283724084030837
3,7,12131,iterative,True,1194,0.3646353646353646,2.262760292040184
3,7,234122,iterative,True,1415,0.41858141858141856,2.37550404202193
3,7,389833,iterative,True,1207,0.35764235764235763,2.3999696249957196
3,8,12131,iterative,True,1201,0.36,2.3612390420166776
3,8,234122,iterative,True,1219,0.3652694610778443,2.4168055420159362
3,8,389833,iterative,True,1277,0.4114114114114114,2.2937972500221804
3,9,12131,iterative,True,1185,0.36936936936936937,2.4318177920067683
3,9,234122,iterative,True,1227,0.3966033966033966,2.3785763339838013
3,9,389833,iterative,True,1245,0.405,2.4308502500061877
3,10,12131,iterative,True,1239,0.37737737737737737,2.3155370409949683
3,10,234122,iterative,True,1202,0.3886113886113886,2.3827832079841755
3,10,389833,iterative,True,1259,0.403,2.433146667026449
3,11,12131,iterative,True,1207,0.3856143856143856,2.589377041964326
3,11,234122,iterative,True,1266,0.4175824175824176,2.32162641704781
3,11,389833,iterative,True,1220,0.3886113886113886,2.34842466696864
3,12,12131,iterative,True,1171,0.3856143856143856,2.569357124972157
3,12,234122,iterative,True,1206,0.3973973973973974,2.3040630830219015
3,12,389833,iterative,True,1220,0.3912175648702595,2.3429149159928784
3,13,12131,iterative,True,1163,0.382,2.471604375052266
3,13,234122,iterative,True,1134,0.36163836163836166,2.9940082079847343
3,13,389833,iterative,True,1140,0.36663336663336665,4.00557649997063
3,14,12131,iterative,True,1177,0.37962037962037964,2.515094542002771
3,14,234122,iterative,True,1191,0.38622754491017963,2.8356279160361737
3,14,389833,iterative,True,1199,0.38877755511022044,2.325480833009351
3,15,12131,iterative,True,1157,0.37537537537537535,2.638618334021885
3,15,234122,iterative,True,1188,0.3913913913913914,2.515288666996639
3,15,389833,iterative,True,1216,0.3897795591182365,2.427464374981355
3,16,12131,iterative,True,1148,0.377,2.5021091249655
3,16,234122,iterative,True,1202,0.392,2.4245599590358324
3,16,389833,iterative,True,1142,0.3793793793793794,3.6475923330290243
3,17,12131,iterative,True,1155,0.37362637362637363,2.705872791004367
3,17,234122,iterative,True,1175,0.39,2.6949387500062585
3,17,389833,iterative,True,1163,0.38323353293413176,2.5235069160116836
3,18,12131,iterative,True,1136,0.37037037037037035,3.000144791963976
3,18,234122,iterative,True,1178,0.38922155688622756,2.589455834007822
3,18,389833,iterative,True,1136,0.3733733733733734,3.294192540983204
3,19,12131,iterative,True,1158,0.38238238238238237,3.1298745830426924
3,19,234122,iterative,True,1164,0.375,3.8380213330383413
3,19,389833,iterative,True,1181,0.3847695390781563,2.500611875031609
3,20,12131,iterative,True,1133,0.376,4.5339981249999255
3,20,234122,iterative,True,1152,0.3783783783783784,2.952830750029534
3,20,389833,iterative,True,1143,0.378,3.5992655840236694
3,21,12131,iterative,True,1136,0.3733733733733734,3.589248166012112
3,21,234122,iterative,True,1143,0.3731193580742227,3.5559807079844177
3,21,389833,iterative,True,1136,0.37162837162837165,2.9857864170335233
3,22,12131,iterative,True,1126,0.36736736736736736,3.459389541996643
3,22,234122,iterative,True,1136,0.377,3.2141142089967616
3,22,389833,iterative,True,1146,0.379,3.3805719160009176
3,23,12131,iterative,True,1127,0.37188434695912265,5.216142582998145
3,23,234122,iterative,True,1128,0.373,4.854205334035214
3,23,389833,iterative,True,1153,0.37962037962037964,7.576920291001443
3,24,12131,iterative,True,1116,0.367,31.3816987919854
3,24,234122,iterative,True,1127,0.3722554890219561,6.332630541990511
3,24,389833,iterative,True,1140,0.37662337662337664,5.457792332977988
3,25,12131,iterative,True,1121,0.3733733733733734,12.144933708012104
3,25,234122,iterative,True,1122,0.37237237237237236,10.636857207980938
3,25,389833,iterative,True,1131,0.37462537462537465,10.396141959005035
3,26,12131,iterative,True,1143,0.37537537537537535,16.3273339580046
3,26,234122,iterative,True,1110,0.36663336663336665,19.894150167005137
3,26,389833,iterative,True,1116,0.3696303696303696,18.288765917008277
3,27,12131,iterative,True,1124,0.369,23.520506375003606
3,27,234122,iterative,True,1133,0.37462537462537465,26.138848749978933
3,27,389833,iterative,True,1112,0.3683683683683684,24.535558332980145
3,28,12131,iterative,True,1116,0.3667334669338677,46.46523137501208
3,28,234122,iterative,True,1110,0.3663663663663664,39.32722650002688
3,28,389833,iterative,True,1132,0.37325349301397204,44.953880707966164
3,29,12131,iterative,True,1102,0.36536536536536535,82.29915625002468
