nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
19,19,12131,iterative,True,1646,0.053,9.168441999994684
19,19,234122,iterative,True,1769,0.054,7.71112912503304
19,19,389833,iterative,True,1700,0.0,56.54055245802738
19,20,12131,iterative,True,1631,0.05511022044088176,13.370708915987052
19,20,234122,iterative,True,1714,0.06,6.673054124985356
19,20,389833,iterative,True,1618,0.05976095617529881,7.353001834009774
19,21,12131,iterative,True,1586,0.05905905905905906,9.653999458998442
19,21,234122,iterative,True,1689,0.06606606606606606,7.464193958032411
19,21,389833,iterative,True,1614,0.06506506506506507,5.666869707987644
19,22,12131,iterative,True,1699,0.06893106893106893,10.514124375011306
19,22,234122,iterative,True,1685,0.07085828343313373,7.279899999964982
19,22,389833,iterative,True,1688,0.07522567703109329,16.625238708977122
19,23,12131,iterative,True,1643,0.06393606393606394,5.91652804199839
19,23,234122,iterative,True,1674,0.0658682634730539,5.14882416697219
19,23,389833,iterative,True,1611,0.06493506493506493,5.443479625042528
19,24,12131,iterative,True,1680,0.06813627254509018,5.736512999981642
19,24,234122,iterative,True,1648,0.059940059940059943,7.288281916989945
19,24,389833,iterative,True,1623,0.066,6.499646833981387
19,25,12131,iterative,True,1639,0.065,11.453099250036757
19,25,234122,iterative,True,1658,0.07178464606181456,5.1656298750313
19,25,389833,iterative,True,1693,0.06893106893106893,6.135545666969847
19,26,12131,iterative,True,1654,0.061938061938061936,29.02638604096137
19,26,234122,iterative,True,1582,0.069,7.055771375016775
19,26,389833,iterative,True,1632,0.07085828343313373,8.623630249989219
19,27,12131,iterative,True,1619,0.062,63.581517500046175
