nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
15,15,12131,iterative,True,1695,0.06806806806806807,8.876837750023697
15,15,234122,iterative,True,1607,0.06793206793206794,6.132153415994253
15,15,389833,iterative,True,1674,0.07907907907907907,6.466259040986188
15,16,12131,iterative,True,1576,0.074,7.920500041975174
15,16,234122,iterative,True,1563,0.07807807807807808,6.403020083031151
15,16,389833,iterative,True,1637,0.07592407592407592,6.230270333006047
15,17,12131,iterative,True,1541,0.075,7.548286500037648
15,17,234122,iterative,True,1645,0.076,8.824611832969822
15,17,389833,iterative,True,1605,0.07992007992007992,6.457255209039431
15,18,12131,iterative,True,1502,0.07692307692307693,7.68639579199953
15,18,234122,iterative,True,1648,0.07676969092721835,8.321318249974865
15,18,389833,iterative,True,1654,0.07692307692307693,7.600045458006207
15,19,12131,iterative,True,1683,0.07884231536926148,7.896755750000011
15,19,234122,iterative,True,1647,0.09290709290709291,9.53652337496169
15,19,389833,iterative,True,1532,0.07507507507507508,11.674562125001103
15,20,12131,iterative,True,1675,0.0899100899100899,8.559604709036648
15,20,234122,iterative,True,1609,0.09,7.507514666998759
15,20,389833,iterative,True,1656,0.08665338645418327,6.751815208001062
15,21,12131,iterative,True,1578,0.08708708708708708,6.862989708955865
15,21,234122,iterative,True,1580,0.093,6.78480900003342
15,21,389833,iterative,True,1605,0.0871743486973948,6.1768782080034725
15,22,12131,iterative,True,1552,0.08708708708708708,9.468115624971688
15,22,234122,iterative,True,1595,0.0940940940940941,6.463025584002025
15,22,389833,iterative,True,1508,0.084,6.831607083033305
15,23,12131,iterative,True,1614,0.081,13.110607624985278
15,23,234122,iterative,True,1541,0.0920920920920921,7.7019361249986105
15,23,389833,iterative,True,1687,0.0940940940940941,6.895488625043072
15,24,12131,iterative,True,1538,0.0919080919080919,10.155412667023484
15,24,234122,iterative,True,1566,0.09,9.37385287496727
15,24,389833,iterative,True,1633,0.09309309309309309,7.9604622080223635
15,25,12131,iterative,True,1599,0.08673978065802593,8.578695333038922
15,25,234122,iterative,True,1537,0.091,18.025253542000428
15,25,389833,iterative,True,1584,0.08582834331337326,8.661769874976017
15,26,12131,iterative,True,1562,0.08517034068136273,9.464091082976665
15,26,234122,iterative,True,1627,0.0939060939060939,7.986562583013438
15,26,389833,iterative,True,1606,0.079,15.470634250028525
15,27,12131,iterative,True,1551,0.09090909090909091,7.106040083046537
15,27,234122,iterative,True,1615,0.0897308075772682,8.39781870803563
15,27,389833,iterative,True,1529,0.08682634730538923,9.314871040987782
15,28,12131,iterative,True,1554,0.09509509509509509,8.811206332989968
15,28,234122,iterative,True,1610,0.09281437125748503,8.248535499966238
15,28,389833,iterative,True,1586,0.0959040959040959,10.174103458994068
15,29,12131,iterative,True,1547,0.09309309309309309,8.349845499964431
15,29,234122,iterative,True,1497,0.08891108891108891,15.931540999969002
15,29,389833,iterative,True,1647,0.096,7.560034499969333
15,30,12131,iterative,True,1565,0.09290709290709291,8.395411709032487
15,30,234122,iterative,True,1623,0.097,7.554677000036463
15,30,389833,iterative,True,1591,0.0959040959040959,17.102724333002698
15,31,12131,iterative,True,1530,0.09290709290709291,8.341591333039105
15,31,234122,iterative,True,1569,0.09471585244267199,8.646969374967739
15,31,389833,iterative,True,1526,0.09009009009009009,14.025297833024524
15,32,12131,iterative,True,1539,0.094,9.396857917017769
15,32,234122,iterative,True,1600,0.09628886659979939,6.912339041999076
15,32,389833,iterative,True,1549,0.09309309309309309,8.051589415990748
15,33,12131,iterative,True,1519,0.09519038076152304,7.280673291999847
15,33,234122,iterative,True,1573,0.09481037924151696,10.534432208980434
15,33,389833,iterative,True,1479,0.09,11.209651999990456
15,34,12131,iterative,True,1496,0.09309309309309309,8.735142667021137
15,34,234122,iterative,True,1567,0.09290709290709291,12.04442062502494
15,34,389833,iterative,True,1550,0.09418837675350701,10.470521416980773
15,35,12131,iterative,True,1483,0.09290709290709291,9.380988250020891
15,35,234122,iterative,True,1538,0.09309309309309309,6.630451416014694
15,35,389833,iterative,True,1541,0.09619238476953908,6.6715879580006
15,36,12131,iterative,True,1499,0.092,10.880072292056866
15,36,234122,iterative,True,1550,0.09318637274549098,8.055226291005965
15,36,389833,iterative,True,1552,0.096,7.351182000013068
15,37,12131,iterative,True,1484,0.09109109109109109,8.787312291038688
15,37,234122,iterative,True,1529,0.09353233830845771,6.68014045903692
15,37,389833,iterative,True,1506,0.09318637274549098,9.53843916702317
15,38,12131,iterative,True,1476,0.093,8.9404113329947
15,38,234122,iterative,True,1515,0.08791208791208792,8.145451458985917
15,38,389833,iterative,True,1550,0.09490509490509491,6.925833875022363
15,39,12131,iterative,True,1470,0.09281437125748503,9.018340250011533
15,39,234122,iterative,True,1507,0.09272183449651047,7.156510291970335
15,39,389833,iterative,True,1525,0.09490509490509491,7.079803083033767
15,40,12131,iterative,True,1513,0.09090909090909091,8.699532833998092
15,40,234122,iterative,True,1481,0.0920920920920921,10.116987082990818
15,40,389833,iterative,True,1505,0.09418837675350701,7.008295791980345
15,41,12131,iterative,True,1479,0.0940940940940941,10.505411458027083
15,41,234122,iterative,True,1488,0.09371884346959122,9.97725758398883
15,41,389833,iterative,True,1489,0.0939060939060939,8.38957770797424
15,42,12131,iterative,True,1458,0.091,10.119025791995227
15,42,234122,iterative,True,1498,0.092,8.082433666975703
15,42,389833,iterative,True,1492,0.0939060939060939,8.755167249997612
15,43,12131,iterative,True,1452,0.09109109109109109,11.140183124982286
15,43,234122,iterative,True,1454,0.09290709290709291,12.492350290995091
15,43,389833,iterative,True,1460,0.09181636726546906,9.933563541970216
15,44,12131,iterative,True,1456,0.09172482552342971,14.010336667008232
15,44,234122,iterative,True,1434,0.09163346613545817,12.241278500005137
15,44,389833,iterative,True,1449,0.092,12.547880625003017
15,45,12131,iterative,True,1480,0.0919080919080919,11.912164999986999
15,45,234122,iterative,True,1428,0.09,13.840856374998111
15,45,389833,iterative,True,1476,0.09371884346959122,14.14554279204458
15,46,12131,iterative,True,1449,0.09172482552342971,23.02602804201888
15,46,234122,iterative,True,1444,0.09172482552342971,15.791047916049138
15,46,389833,iterative,True,1464,0.092,17.27600341598736
15,47,12131,iterative,True,1454,0.09290709290709291,18.324932625051588
15,47,234122,iterative,True,1464,0.0919080919080919,24.51655620802194
15,47,389833,iterative,True,1419,0.09127382146439318,23.79174220794812
15,48,12131,iterative,True,1439,0.0899100899100899,27.26317479100544
15,48,234122,iterative,True,1435,0.089,24.26964133401634
15,48,389833,iterative,True,1428,0.0919080919080919,23.868968625029083
15,49,12131,iterative,True,1409,0.09090909090909091,25.633495833026245
15,49,234122,iterative,True,1416,0.09118236472945891,29.47846016701078
15,49,389833,iterative,True,1402,0.08982035928143713,22.009498000028543
15,50,12131,iterative,True,1401,0.09,27.05761000001803
15,50,234122,iterative,True,1418,0.09109109109109109,35.1852412080043
15,50,389833,iterative,True,1413,0.09109109109109109,46.517489166988526
15,51,12131,iterative,True,1402,0.08791208791208792,26.75821249996079
15,51,234122,iterative,True,1399,0.08691308691308691,45.85361183300847
15,51,389833,iterative,True,1419,0.09009009009009009,69.56280562502798
15,52,12131,iterative,True,1391,0.089,98.92660383402836
