nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
18,18,12131,brute_force,1617,0.060939060939060936,18.506598333013244
18,18,12131,recursive,1617,0.060939060939060936,3.07992283400381
18,18,12131,iterative,1637,0.060939060939060936,3.097886167000979
18,18,234122,brute_force,1696,0.06412825651302605,18.124294999986887
18,18,234122,recursive,1627,0.06412825651302605,1.1955644160043448
18,18,234122,iterative,1753,0.06387225548902195,1.4342048749676906
18,18,389833,brute_force,1746,0.059940059940059943,20.915726666979026
18,18,389833,recursive,1746,0.059940059940059943,5.343803709023632
18,18,389833,iterative,1716,0.059940059940059943,5.197381041012704
18,19,12131,brute_force,1626,0.06580259222333001,36.42832429101691
18,19,12131,recursive,1641,0.06580259222333001,3.281388292030897
18,19,12131,iterative,1607,0.06580259222333001,3.512898458982818
18,19,234122,brute_force,1742,0.073,38.62208445899887
18,19,234122,recursive,1740,0.073,3.78035837499192
18,19,234122,iterative,1752,0.073,3.7215376250096597
18,19,389833,brute_force,1763,0.07192807192807193,37.65394020895474
18,19,389833,recursive,1763,0.07192807192807193,0.8925382920424454
18,19,389833,iterative,1624,0.06893106893106893,0.9790820839698426
18,20,12131,brute_force,1646,0.063,78.38443925004685
18,20,12131,recursive,1636,0.063,9.248675791022833
18,20,12131,iterative,1669,0.063,10.109518959012348
18,20,234122,recursive,1715,0.061,1.3538850839831866
18,20,234122,iterative,1696,0.07007007007007007,1.529547290992923
18,20,389833,recursive,1635,0.06706706706706707,1.9308142500231043
18,20,389833,iterative,1638,0.07292707292707293,2.1591841250192374
18,21,12131,recursive,1581,0.06693306693306693,4.918469875003211
18,21,12131,iterative,1633,0.06693306693306693,6.35446362500079
18,21,234122,recursive,1679,0.065,2.2790491670020856
18,21,234122,iterative,1627,0.07,3.442247374972794
18,21,389833,recursive,1616,0.07192807192807193,1.3239514169981703
18,21,389833,iterative,1605,0.07192807192807193,1.230766833992675
18,22,12131,recursive,1685,0.07107107107107107,4.153658792027272
18,22,12131,iterative,1662,0.07107107107107107,4.844509500020649
18,22,234122,recursive,1634,0.074,2.616177957970649
18,22,234122,iterative,1655,0.074,3.0476654579979368
18,22,389833,recursive,1575,0.073,2.8354683329816908
18,22,389833,iterative,1638,0.075,3.8925987079855986
18,23,12131,recursive,1553,0.06393606393606394,5.670629040978383
18,23,12131,iterative,1565,0.06393606393606394,5.149121000024024
18,23,234122,recursive,1645,0.074,3.206212165998295
18,23,234122,iterative,1676,0.074,3.819293083040975
18,23,389833,recursive,1657,0.069,5.278560709033627
18,23,389833,iterative,1686,0.067,6.456417750043329
18,24,12131,recursive,1632,0.077,3.979594333039131
18,24,12131,iterative,1657,0.07592407592407592,4.102362958015874
18,24,234122,recursive,1637,0.06893106893106893,5.847051624965388
18,24,234122,iterative,1637,0.06893106893106893,7.02812716702465
18,24,389833,recursive,1665,0.07407407407407407,2.596327083010692
18,24,389833,iterative,1649,0.07407407407407407,3.0458469170262106
18,25,12131,recursive,1597,0.06806806806806807,14.944824124977458
18,25,12131,iterative,1624,0.06806806806806807,17.281974832993
18,25,234122,recursive,1575,0.07178464606181456,7.143061292008497
18,25,234122,iterative,1637,0.07178464606181456,8.006091458024457
18,25,389833,recursive,1632,0.07392607392607392,3.1976834590313956
18,25,389833,iterative,1632,0.07392607392607392,3.079084332974162
18,26,12131,recursive,1609,0.0688622754491018,18.183939083013684
18,26,12131,iterative,1604,0.0688622754491018,17.006017334002536
18,26,234122,recursive,1622,0.08183632734530938,4.207405749999452
18,26,234122,iterative,1593,0.079,3.9947407500003465
18,26,389833,recursive,1553,0.072,8.941107458027545
18,26,389833,iterative,1578,0.072,10.334498749987688
18,27,12131,recursive,1615,0.0732196589769308,9.029961958003696
18,27,12131,iterative,1629,0.0732196589769308,9.25708145799581
18,27,234122,recursive,1568,0.07192807192807193,6.624489083013032
18,27,234122,iterative,1639,0.07192807192807193,8.801789708028082
18,27,389833,recursive,1624,0.06986027944111776,2.5236345409648493
18,27,389833,iterative,1618,0.06986027944111776,3.3195864579756744
18,28,12131,recursive,1588,0.074,13.205695750017185
18,28,12131,iterative,1622,0.074,17.581415041000582
18,28,234122,recursive,1607,0.07477567298105683,8.37000883294968
18,28,234122,iterative,1630,0.07477567298105683,11.449077916971873
18,28,389833,recursive,1663,0.08191808191808192,2.699257750005927
18,28,389833,iterative,1644,0.08183632734530938,2.9741559579852037
18,29,12131,recursive,1636,0.076,4.487387665954884
18,29,12131,iterative,1608,0.076,4.880491499963682
18,29,234122,recursive,1542,0.07692307692307693,7.734448167029768
18,29,234122,iterative,1556,0.07692307692307693,9.153500957996584
18,29,389833,recursive,1559,0.075,5.697575833008159
18,29,389833,iterative,1623,0.074,5.954984667012468
18,30,12131,recursive,1615,0.0802407221664995,10.294722624996211
18,30,12131,iterative,1627,0.08283433133732535,9.768384208029602
18,30,234122,recursive,1625,0.07715430861723446,18.229371708002873
18,30,234122,iterative,1601,0.07715430861723446,18.534797790984157
