nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
6,6,12131,brute_force,1314,0.0,0.07609099999535829
6,6,12131,recursive,1314,0.0,0.07251937501132488
6,6,12131,iterative,1314,0.0,0.07172779200482182
6,6,234122,brute_force,1482,0.0,0.08257433300605044
6,6,234122,recursive,1482,0.0,0.08721150000928901
6,6,234122,iterative,1482,0.0,0.08251912498963065
6,6,389833,brute_force,1552,0.21978021978021978,0.07724179199431092
6,6,389833,recursive,1552,0.21978021978021978,0.08409333400777541
6,6,389833,iterative,1552,0.21978021978021978,0.08031799999298528
6,7,12131,brute_force,1396,0.17217217217217218,0.06864499999210238
6,7,12131,recursive,1396,0.17217217217217218,0.07140933300252073
6,7,12131,iterative,1396,0.17217217217217218,0.08074012497672811
6,7,234122,brute_force,1332,0.0,0.15494350000517443
6,7,234122,recursive,1332,0.0,0.14611837500706315
6,7,234122,iterative,1290,0.0,0.14301133298431523
6,7,389833,brute_force,1390,0.17617617617617617,0.09068870899500325
6,7,389833,recursive,1390,0.17617617617617617,0.09892308301641606
6,7,389833,iterative,1295,0.17617617617617617,0.09064858398051001
6,8,12131,brute_force,1345,0.17482517482517482,0.05644070901325904
6,8,12131,recursive,1345,0.17482517482517482,0.05657099999370985
6,8,12131,iterative,1345,0.17482517482517482,0.05440508300671354
6,8,234122,brute_force,1410,0.1998001998001998,0.07401716700405814
6,8,234122,recursive,1410,0.1998001998001998,0.08068537499639206
6,8,234122,iterative,1410,0.1998001998001998,0.07093933399301022
6,8,389833,brute_force,1375,0.195,0.06083891697926447
6,8,389833,recursive,1375,0.195,0.04360441697645001
6,8,389833,iterative,1375,0.195,0.04776254200260155
6,9,12131,brute_force,1608,0.19519519519519518,0.07472216698806733
6,9,12131,recursive,1608,0.19519519519519518,0.07020470898714848
6,9,12131,iterative,1608,0.19519519519519518,0.06845587500720285
6,9,234122,brute_force,1365,0.1938061938061938,0.15323999998508953
6,9,234122,recursive,1365,0.1938061938061938,0.1609660419926513
6,9,234122,iterative,1357,0.1938061938061938,0.131171417015139
6,9,389833,brute_force,1384,0.186,0.13624933300889097
6,9,389833,recursive,1384,0.186,0.1414471250027418
6,9,389833,iterative,1384,0.186,0.1433187079965137
6,10,12131,brute_force,1490,0.2097902097902098,0.16687683397321962
6,10,12131,recursive,1490,0.2097902097902098,0.1559455840033479
6,10,12131,iterative,1490,0.2097902097902098,0.15014370798598975
6,10,234122,brute_force,1475,0.1978021978021978,0.10936724999919534
6,10,234122,recursive,1475,0.1978021978021978,0.10572604200569913
6,10,234122,iterative,1414,0.1978021978021978,0.10272912500659004
6,10,389833,brute_force,1448,0.202,0.12948783300817013
6,10,389833,recursive,1448,0.202,0.13063604099443182
6,10,389833,iterative,1448,0.202,0.12539941698196344
6,11,12131,brute_force,1443,0.2177822177822178,0.1192565840028692
