nagents,nitems,seed,algorithm,utility_sum,min_proportional_utility,runtime
12,12,165043187,maximally_proportional_allocation,1686,0.0,0.5221615420014132
12,12,165043187,round_robin,1538,0.029,0.0002238750021206215
12,12,217107415,maximally_proportional_allocation,1686,0.09090909090909091,0.22060366701043677
12,12,217107415,round_robin,1463,0.046,0.00021845899755135179
12,12,970775402,maximally_proportional_allocation,1574,0.08791208791208792,0.1666958749992773
12,12,970775402,round_robin,1432,0.013013013013013013,0.000228749995585531
12,12,2154093945,maximally_proportional_allocation,1813,0.1,0.09865237498888746
12,12,2154093945,round_robin,1531,0.037,0.00022495799930766225
12,12,2600196075,maximally_proportional_allocation,1554,0.0960960960960961,0.07133454199356493
12,12,2600196075,round_robin,1565,0.07507507507507508,0.00022779099526815116
12,13,165043187,maximally_proportional_allocation,1534,0.09118236472945891,0.16661541699431837
12,13,165043187,round_robin,1649,0.060939060939060936,0.0002373750030528754
12,13,217107415,maximally_proportional_allocation,1786,0.1041041041041041,0.08706170800724067
12,13,217107415,round_robin,1685,0.04904904904904905,0.00023087499721441418
12,13,970775402,maximally_proportional_allocation,1687,0.08508508508508508,0.39681962500617374
12,13,970775402,round_robin,1502,0.07092907092907093,0.0002355839969823137
12,13,2154093945,maximally_proportional_allocation,1677,0.11811811811811812,0.04975929200008977
12,13,2154093945,round_robin,1809,0.11811811811811812,0.0002344999957131222
12,13,2600196075,maximally_proportional_allocation,1484,0.1001001001001001,0.2850629579916131
12,13,2600196075,round_robin,1643,0.059,0.00022887499653734267
12,14,165043187,maximally_proportional_allocation,1628,0.09880239520958084,0.2045212080120109
12,14,165043187,round_robin,1598,0.069,0.00023804200463928282
12,14,217107415,maximally_proportional_allocation,1591,0.1068931068931069,0.08222774999740068
12,14,217107415,round_robin,1616,0.1068931068931069,0.00024045900499913841
12,14,970775402,maximally_proportional_allocation,1629,0.10510510510510511,0.15446558299299795
12,14,970775402,round_robin,1508,0.0841683366733467,0.00023550000332761556
12,14,2154093945,maximally_proportional_allocation,1604,0.09490509490509491,0.44533366699761245
12,14,2154093945,round_robin,1686,0.07992007992007992,0.00024454201047774404
12,14,2600196075,maximally_proportional_allocation,1578,0.1,0.17430324999440927
12,14,2600196075,round_robin,1652,0.093,0.00024899998970795423
12,15,165043187,maximally_proportional_allocation,1556,0.1088911088911089,0.18340112500300165
12,15,165043187,round_robin,1552,0.060939060939060936,0.0002439170057186857
12,15,217107415,maximally_proportional_allocation,1561,0.109,0.33339195800363086
12,15,217107415,round_robin,1622,0.06993006993006994,0.00025174999609589577
12,15,970775402,maximally_proportional_allocation,1582,0.113,0.13216949999332428
12,15,970775402,round_robin,1577,0.07592407592407592,0.00024816700897645205
12,15,2154093945,maximally_proportional_allocation,1611,0.10789210789210789,0.08732658300141338
12,15,2154093945,round_robin,1485,0.04804804804804805,0.0002554580132709816
12,15,2600196075,maximally_proportional_allocation,1573,0.10479041916167664,0.22867158299777657
12,15,2600196075,round_robin,1517,0.066,0.00024412501079495996
12,16,165043187,maximally_proportional_allocation,1602,0.11711711711711711,0.130555292009376
12,16,165043187,round_robin,1527,0.073,0.00026279200392309576
12,16,217107415,maximally_proportional_allocation,1545,0.1028971028971029,0.5650283750001108
12,16,217107415,round_robin,1490,0.06387225548902195,0.00026287500804755837
12,16,970775402,maximally_proportional_allocation,1518,0.1018981018981019,0.2851029170124093
12,16,970775402,round_robin,1429,0.07192807192807193,0.0002589170035207644
12,16,2154093945,maximally_proportional_allocation,1526,0.10578842315369262,0.47464962500089314
12,16,2154093945,round_robin,1665,0.08,0.0002627500070957467
12,16,2600196075,maximally_proportional_allocation,1534,0.1048951048951049,0.3207565839984454
12,16,2600196075,round_robin,1522,0.068,0.00025845800701063126
12,17,165043187,maximally_proportional_allocation,1646,0.114,0.18068954200134613
12,17,165043187,round_robin,1674,0.06706706706706707,0.00026704100309871137
12,17,217107415,maximally_proportional_allocation,1594,0.113,0.2579598749871366
12,17,217107415,round_robin,1591,0.07007007007007007,0.00027150000096298754
12,17,970775402,maximally_proportional_allocation,1516,0.099,0.41597445799561683
12,17,970775402,round_robin,1544,0.07592407592407592,0.0002740420022746548
12,17,2154093945,maximally_proportional_allocation,1580,0.11188811188811189,0.5380578330077697
12,17,2154093945,round_robin,1697,0.060939060939060936,0.0002774159947875887
12,17,2600196075,maximally_proportional_allocation,1571,0.1091091091091091,0.41539266699692234
12,17,2600196075,round_robin,1568,0.056,0.00027891600620932877
12,18,165043187,maximally_proportional_allocation,1498,0.1038961038961039,0.37478029100748245
12,18,165043187,round_robin,1622,0.064,0.00028995799948461354
12,18,217107415,maximally_proportional_allocation,1466,0.1041041041041041,0.7508673749980517
12,18,217107415,round_robin,1577,0.07207207207207207,0.00028516601014416665
12,18,970775402,maximally_proportional_allocation,1608,0.11788211788211789,0.5516848330007633
12,18,970775402,round_robin,1603,0.07192807192807193,0.00031954199948813766
12,18,2154093945,maximally_proportional_allocation,1648,0.109,0.21971749998920131
12,18,2154093945,round_robin,1573,0.07,0.00031474999559577554
12,18,2600196075,maximally_proportional_allocation,1575,0.10789210789210789,0.21275108300324064
12,18,2600196075,round_robin,1601,0.059880239520958084,0.00032095798815134913
12,19,165043187,maximally_proportional_allocation,1554,0.11811811811811812,0.3845765419973759
12,19,165043187,round_robin,1590,0.07507507507507508,0.0003116670122835785
12,19,217107415,maximally_proportional_allocation,1568,0.107,0.5264325000025565
12,19,217107415,round_robin,1613,0.08,0.00030595899443142116
12,19,970775402,maximally_proportional_allocation,1479,0.1011011011011011,0.5861278340016725
12,19,970775402,round_robin,1578,0.08091908091908091,0.0003316249931231141
12,19,2154093945,maximally_proportional_allocation,1645,0.1088911088911089,0.1896393749921117
12,19,2154093945,round_robin,1673,0.068,0.0003037080023204908
12,19,2600196075,maximally_proportional_allocation,1558,0.10989010989010989,0.4854470830032369
12,19,2600196075,round_robin,1595,0.074,0.0003007500054081902
12,20,165043187,maximally_proportional_allocation,1460,0.10578842315369262,0.3711224169965135
12,20,165043187,round_robin,1637,0.061,0.00032395801099482924
12,20,217107415,maximally_proportional_allocation,1559,0.1018981018981019,1.055129415995907
12,20,217107415,round_robin,1616,0.066,0.00031383300665766
12,20,970775402,maximally_proportional_allocation,1527,0.107,1.109795334006776
12,20,970775402,round_robin,1603,0.07,0.00031066700466908514
12,20,2154093945,maximally_proportional_allocation,1519,0.1041041041041041,0.6233570839976892
12,20,2154093945,round_robin,1680,0.07007007007007007,0.00030933400557842106
12,20,2600196075,maximally_proportional_allocation,1508,0.1068931068931069,0.5478996249876218
12,20,2600196075,round_robin,1556,0.076,0.00031054198916535825
12,21,165043187,maximally_proportional_allocation,1492,0.1008991008991009,1.8797547499998473
12,21,165043187,round_robin,1700,0.074,0.0003293329937150702
12,21,217107415,maximally_proportional_allocation,1597,0.11365902293120637,0.3966357080062153
12,21,217107415,round_robin,1656,0.06480558325024925,0.0003144170041196048
12,21,970775402,maximally_proportional_allocation,1532,0.11188811188811189,0.6754930000024615
12,21,970775402,round_robin,1651,0.0647410358565737,0.00030895900272298604
12,21,2154093945,maximally_proportional_allocation,1577,0.11411411411411411,0.33574266600771807
12,21,2154093945,round_robin,1687,0.07892107892107893,0.0003192919975845143
12,21,2600196075,maximally_proportional_allocation,1514,0.1092184368737475,0.6783786669984693
12,21,2600196075,round_robin,1549,0.063,0.0003247499989811331
12,22,165043187,maximally_proportional_allocation,1489,0.11322645290581163,0.8472922499931883
12,22,165043187,round_robin,1653,0.059940059940059943,0.0003376669919816777
12,22,217107415,maximally_proportional_allocation,1578,0.106,0.3831557910016272
12,22,217107415,round_robin,1601,0.052,0.00033083300513681024
12,22,970775402,maximally_proportional_allocation,1524,0.11523046092184369,0.8019872910081176
12,22,970775402,round_robin,1582,0.084,0.00033745900145731866
12,22,2154093945,maximally_proportional_allocation,1552,0.115,0.6971812919946387
12,22,2154093945,round_robin,1700,0.06493506493506493,0.00032583299616817385
12,22,2600196075,maximally_proportional_allocation,1530,0.10810810810810811,1.7609879999945406
12,22,2600196075,round_robin,1563,0.069,0.000338249999913387
12,23,165043187,maximally_proportional_allocation,1460,0.11077844311377245,0.8838475410011597
12,23,165043187,round_robin,1581,0.056943056943056944,0.00034479198802728206
12,23,217107415,maximally_proportional_allocation,1595,0.1108891108891109,2.2749827909865417
12,23,217107415,round_robin,1622,0.06006006006006006,0.0003455840051174164
12,23,970775402,maximally_proportional_allocation,1519,0.112,1.1978497920063091
12,23,970775402,round_robin,1528,0.075,0.0003504579945001751
12,23,2154093945,maximally_proportional_allocation,1583,0.11711711711711711,0.5062331249937415
12,23,2154093945,round_robin,1751,0.056,0.00035237500560469925
12,23,2600196075,maximally_proportional_allocation,1506,0.10789210789210789,1.6525691669958178
12,23,2600196075,round_robin,1606,0.061,0.00035016699985135347
12,24,165043187,maximally_proportional_allocation,1472,0.106,1.0899992499907967
12,24,165043187,round_robin,1620,0.07385229540918163,0.00035641700378619134
12,24,217107415,maximally_proportional_allocation,1526,0.11311311311311312,0.6213395829981891
12,24,217107415,round_robin,1666,0.07307307307307308,0.00035604200093075633
12,24,970775402,maximally_proportional_allocation,1593,0.11711711711711711,0.7274563329992816
12,24,970775402,round_robin,1628,0.1041041041041041,0.00035270799708086997
12,24,2154093945,maximally_proportional_allocation,1602,0.1217564870259481,0.18570070799614768
12,24,2154093945,round_robin,1679,0.08083832335329341,0.0003488329966785386
