nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
2,2,12131,iterative,True,685,0.0,1.8968500419869088
2,2,234122,iterative,True,1576,0.749,1.848979624977801
2,2,389833,iterative,True,658,0.0,1.8781806670012884
2,3,12131,iterative,True,1194,0.531,1.8119824579916894
2,3,234122,iterative,True,1226,0.525,1.8873850420350209
2,3,389833,iterative,True,717,0.0,1.8579164170078002
2,4,12131,iterative,True,1332,0.589,1.8146809170139022
2,4,234122,iterative,True,1244,0.534,1.849696249992121
2,4,389833,iterative,True,1106,0.5274725274725275,1.8927860420080833
2,5,12131,iterative,True,1208,0.531,1.8587675410090014
2,5,234122,iterative,True,1132,0.54,1.90085391595494
2,5,389833,iterative,True,1170,0.5644355644355644,1.8963305000215769
2,6,12131,iterative,True,1123,0.512,1.891531291010324
2,6,234122,iterative,True,1207,0.603,1.9058193339733407
2,6,389833,iterative,True,1212,0.5865865865865866,1.9568234999896958
2,7,12131,iterative,True,1179,0.5654345654345654,1.9093862919835374
2,7,234122,iterative,True,1181,0.5834165834165834,1.894305958005134
2,7,389833,iterative,True,1123,0.555,1.9344335420173593
2,8,12131,iterative,True,1130,0.5574425574425574,2.1266174589982256
2,8,234122,iterative,True,1064,0.5289421157684631,2.0773251660284586
2,8,389833,iterative,True,1153,0.5675675675675675,1.926088041975163
2,9,12131,iterative,True,1182,0.5614385614385614,1.9919710829854012
2,9,234122,iterative,True,1187,0.583,1.9118973749573343
2,9,389833,iterative,True,1108,0.5475475475475475,2.069622708018869
2,10,12131,iterative,True,1113,0.547,1.9445649579865858
2,10,234122,iterative,True,1136,0.5555555555555556,1.9996005420107394
2,10,389833,iterative,True,1122,0.552,2.2607891249936074
2,11,12131,iterative,True,1127,0.5594405594405595,1.9902967500383966
2,11,234122,iterative,True,1133,0.5434565434565435,1.962437084002886
2,11,389833,iterative,True,1074,0.536,2.3102373749716207
2,12,12131,iterative,True,1144,0.5524475524475524,2.034364583028946
2,12,234122,iterative,True,1133,0.5615615615615616,2.1112159169861116
2,12,389833,iterative,True,1123,0.5548902195608783,2.0267004999914207
2,13,12131,iterative,True,1110,0.55,2.088800750032533
2,13,234122,iterative,True,1097,0.545,2.0756681250059046
2,13,389833,iterative,True,1102,0.5414585414585414,9.12958712503314
2,14,12131,iterative,True,1079,0.5365365365365365,2.0547442090464756
2,14,234122,iterative,True,1107,0.548,2.0392297910293564
2,14,389833,iterative,True,1106,0.5460921843687375,2.313280791975558
2,15,12131,iterative,True,1078,0.5344655344655345,2.354129459010437
2,15,234122,iterative,True,1146,0.5545545545545546,2.152742834005039
2,15,389833,iterative,True,1126,0.5544455544455544,2.111875250004232
2,16,12131,iterative,True,1082,0.536,2.388832749973517
2,16,234122,iterative,True,1145,0.5694305694305695,2.0355165830114856
2,16,389833,iterative,True,1064,0.528,17.74803887499729
2,17,12131,iterative,True,1091,0.5444555444555444,2.2604738749796525
2,17,234122,iterative,True,1095,0.5475475475475475,2.0330102499574423
2,17,389833,iterative,True,1089,0.5414585414585414,2.77344424999319
2,18,12131,iterative,True,1069,0.5264735264735265,23.244404625031166
2,18,234122,iterative,True,1108,0.5518962075848304,2.1390342909726314
2,18,389833,iterative,True,1098,0.549,2.0953307920135558
2,19,12131,iterative,True,1080,0.5375375375375375,2.4737958329496905
2,19,234122,iterative,True,1085,0.532,7.981348917004652
2,19,389833,iterative,True,1109,0.5535535535535535,2.357597332971636
2,20,12131,iterative,True,1063,0.53,11.906871583021712
2,20,234122,iterative,True,1086,0.5424575424575424,2.7200669999583624
2,20,389833,iterative,True,1109,0.5544455544455544,2.513183749979362
2,21,12131,iterative,True,1085,0.5385385385385385,3.233553582977038
2,21,234122,iterative,True,1079,0.539,7.349974791985005
2,21,389833,iterative,True,1087,0.5364635364635365,3.1142930829664692
2,22,12131,iterative,True,1075,0.5365365365365365,4.0260687500122
2,22,234122,iterative,True,1089,0.543,3.6131105839740485
2,22,389833,iterative,True,1080,0.534,5.261852082971018
2,23,12131,iterative,True,1073,0.5334665334665335,5.760237917013001
2,23,234122,iterative,True,1076,0.537,5.054668667027727
2,23,389833,iterative,True,1068,0.5295295295295295,33.90720433398383
2,24,12131,iterative,True,1070,0.532,16.972373666008934
2,24,234122,iterative,True,1074,0.5339321357285429,8.10559958301019
2,24,389833,iterative,True,1085,0.536,9.494964958983473
2,25,12131,iterative,True,1069,0.534,38.27714441600256
2,25,234122,iterative,True,1063,0.5295295295295295,34.17146949999733
2,25,389833,iterative,True,1074,0.5364635364635365,45.4171568750171
2,26,12131,iterative,True,1073,0.5370741482965932,38.266038916946854
2,26,234122,iterative,True,1071,0.5284715284715285,35.953392416995484
2,26,389833,iterative,True,1065,0.5320641282565131,61.54907900001854
2,27,12131,iterative,True,1067,0.533,52.588841459015384
2,27,234122,iterative,True,1062,0.5295295295295295,76.2411447080085
2,28,12131,iterative,True,1057,0.5285285285285285,139.95539370801998
