nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
17,17,12131,iterative,True,1735,0.059,6.47069566702703
17,17,234122,iterative,True,1679,0.061938061938061936,8.250358791963663
17,17,389833,iterative,True,1725,0.0,15.88916387502104
17,18,12131,iterative,True,1606,0.060939060939060936,7.576907750044484
17,18,234122,iterative,True,1671,0.0748502994011976,5.316217249957845
17,18,389833,iterative,True,1718,0.07692307692307693,4.700832167000044
17,19,12131,iterative,True,1695,0.07784431137724551,4.883068833034486
17,19,234122,iterative,True,1713,0.078,5.500599333026912
17,19,389833,iterative,True,1654,0.074,5.54690750001464
17,20,12131,iterative,True,1629,0.07107107107107107,11.745431666029617
17,20,234122,iterative,True,1624,0.07007007007007007,6.341439999989234
17,20,389833,iterative,True,1652,0.08083832335329341,5.401412957988214
17,21,12131,iterative,True,1657,0.071,13.304509833978955
17,21,234122,iterative,True,1680,0.078,5.212117500021122
17,21,389833,iterative,True,1649,0.075,5.261327292013448
17,22,12131,iterative,True,1562,0.07507507507507508,7.029977000027429
17,22,234122,iterative,True,1666,0.08208208208208208,6.19317487499211
17,22,389833,iterative,True,1568,0.077,6.533430292038247
17,23,12131,iterative,True,1572,0.076,9.68697137502022
17,23,234122,iterative,True,1627,0.08108108108108109,6.904827082995325
17,23,389833,iterative,True,1583,0.07385229540918163,7.513741665985435
17,24,12131,iterative,True,1605,0.07592407592407592,10.182323333981913
17,24,234122,iterative,True,1646,0.08183632734530938,9.305678792006802
17,24,389833,iterative,True,1624,0.07784431137724551,5.513570124981925
17,25,12131,iterative,True,1594,0.07892107892107893,18.527478666976094
17,25,234122,iterative,True,1588,0.07692307692307693,17.7055323329987
17,25,389833,iterative,True,1640,0.081,8.359866000013426
17,26,12131,iterative,True,1633,0.073,16.851706916990224
17,26,234122,iterative,True,1611,0.08183632734530938,7.271025334019214
17,26,389833,iterative,True,1541,0.072,13.735006333037745
17,27,12131,iterative,True,1601,0.081,5.926976750022732
17,27,234122,iterative,True,1582,0.081,12.148115541960578
17,27,389833,iterative,True,1565,0.07984031936127745,8.331238834012765
17,28,12131,iterative,True,1580,0.074,12.286323625012301
17,28,234122,iterative,True,1648,0.08383233532934131,11.83961545897182
17,28,389833,iterative,True,1574,0.07792207792207792,6.7805281250039116
17,29,12131,iterative,True,1582,0.076,6.9768331249943
17,29,234122,iterative,True,1553,0.08016032064128256,11.43202312500216
17,29,389833,iterative,True,1616,0.083,8.608593375014607
17,30,12131,iterative,True,1590,0.08291708291708291,9.794703707972076
17,30,234122,iterative,True,1605,0.07715430861723446,28.950737875013147
17,30,389833,iterative,True,1626,0.08391608391608392,7.953289334021974
17,31,12131,iterative,True,1564,0.082,8.839274582976941
17,31,234122,iterative,True,1609,0.07615230460921844,28.664958749955986
17,31,389833,iterative,True,1576,0.08008008008008008,12.171830042032525
17,32,12131,iterative,True,1570,0.08,6.077438250009436
17,32,234122,iterative,True,1614,0.08032128514056225,9.103252917004284
17,32,389833,iterative,True,1621,0.08341708542713568,9.748164415999781
17,33,12131,iterative,True,1580,0.08673978065802593,6.439312750007957
17,33,234122,iterative,True,1587,0.079,12.122447000001557
17,33,389833,iterative,True,1577,0.08391608391608392,9.234939832997043
17,34,12131,iterative,True,1549,0.07868525896414343,8.496923000027891
17,34,234122,iterative,True,1624,0.08224674022066199,10.27346158400178
17,34,389833,iterative,True,1574,0.083,13.390048417029902
17,35,12131,iterative,True,1550,0.08308308308308308,12.414843417005613
17,35,234122,iterative,True,1622,0.08608608608608609,8.524082582967822
17,35,389833,iterative,True,1612,0.08191808191808192,17.424727125035133
17,36,12131,iterative,True,1518,0.08383233532934131,11.675729959039018
17,36,234122,iterative,True,1593,0.08591408591408592,6.282288582995534
17,36,389833,iterative,True,1570,0.08383233532934131,12.055819166998845
17,37,12131,iterative,True,1516,0.08108108108108109,7.97245845902944
17,37,234122,iterative,True,1623,0.08083832335329341,7.368521958007477
17,37,389833,iterative,True,1591,0.08591408591408592,8.21709600003669
17,38,12131,iterative,True,1571,0.083,8.953521666990127
17,38,234122,iterative,True,1546,0.08075772681954138,12.064531749987509
17,38,389833,iterative,True,1597,0.085,6.9750462920055725
17,39,12131,iterative,True,1507,0.08291708291708291,10.247087833005935
17,39,234122,iterative,True,1552,0.08191808191808192,7.777870916994289
17,39,389833,iterative,True,1578,0.08391608391608392,7.861453916004393
17,40,12131,iterative,True,1524,0.08308308308308308,8.624537917028647
17,40,234122,iterative,True,1534,0.08491508491508491,8.63770016701892
17,40,389833,iterative,True,1531,0.08341708542713568,7.3213141249725595
17,41,12131,iterative,True,1527,0.08308308308308308,6.979463791009039
17,41,234122,iterative,True,1548,0.0802407221664995,10.996089791995473
17,41,389833,iterative,True,1543,0.08408408408408409,8.828547750017606
