nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
11,11,12131,iterative,True,1646,0.096,3.849678499973379
11,11,234122,iterative,True,1649,0.1091091091091091,3.912242916994728
11,11,389833,iterative,True,1624,0.0,4.553937708027661
11,12,12131,iterative,True,1555,0.0998003992015968,4.122304750024341
11,12,234122,iterative,True,1494,0.10710710710710711,4.02168837498175
11,12,389833,iterative,True,1589,0.1048951048951049,4.22731049999129
11,13,12131,iterative,True,1576,0.1018981018981019,4.128644750046078
11,13,234122,iterative,True,1580,0.107,4.027790457999799
11,13,389833,iterative,True,1508,0.1041041041041041,4.09381220798241
11,14,12131,iterative,True,1392,0.093,5.790204041986726
11,14,234122,iterative,True,1565,0.115,4.2377121659810655
11,14,389833,iterative,True,1565,0.11688311688311688,4.067736875033006
11,15,12131,iterative,True,1470,0.11,4.347156708012335
11,15,234122,iterative,True,1470,0.1111111111111111,4.459169584035408
11,15,389833,iterative,True,1573,0.11411411411411411,4.402885708026588
11,16,12131,iterative,True,1545,0.11,5.070406750019174
11,16,234122,iterative,True,1525,0.11,4.825998541957233
11,16,389833,iterative,True,1471,0.106,4.5215037079760805
11,17,12131,iterative,True,1541,0.11964107676969092,5.224494541995227
11,17,234122,iterative,True,1499,0.11388611388611389,4.825366750010289
11,17,389833,iterative,True,1500,0.11588411588411589,5.221663667005487
11,18,12131,iterative,True,1509,0.10510510510510511,5.899587791995145
11,18,234122,iterative,True,1534,0.127,4.930553916026838
11,18,389833,iterative,True,1539,0.118,4.508889999997336
11,19,12131,iterative,True,1592,0.134,4.330871416023001
11,19,234122,iterative,True,1520,0.117,5.163032542041037
11,19,389833,iterative,True,1552,0.12612612612612611,4.8551798749831505
11,20,12131,iterative,True,1514,0.12224448897795591,4.4756712499656714
11,20,234122,iterative,True,1553,0.11911911911911911,7.991669874987565
11,20,389833,iterative,True,1518,0.123,4.278829417016823
11,21,12131,iterative,True,1572,0.123,4.392750708037056
11,21,234122,iterative,True,1518,0.116,4.300598166999407
11,21,389833,iterative,True,1543,0.13186813186813187,4.16417200001888
11,22,12131,iterative,True,1504,0.12387612387612387,4.494049834029283
11,22,234122,iterative,True,1538,0.12736318407960198,4.6422497919993475
11,22,389833,iterative,True,1587,0.12938816449348045,4.448771374998614
11,23,12131,iterative,True,1495,0.12212212212212212,4.7428735419525765
11,23,234122,iterative,True,1519,0.12112112112112113,5.268750083982013
11,23,389833,iterative,True,1510,0.123,4.690950791991781
11,24,12131,iterative,True,1440,0.11988011988011989,5.3912549579981714
11,24,234122,iterative,True,1517,0.12012012012012012,4.3686359580024146
11,24,389833,iterative,True,1489,0.12275449101796407,4.703677374986
11,25,12131,iterative,True,1493,0.12487512487512488,4.468083708023187
11,25,234122,iterative,True,1525,0.12312312312312312,4.719019250012934
11,25,389833,iterative,True,1539,0.1296111665004985,4.800163334002718
11,26,12131,iterative,True,1467,0.11888111888111888,4.469091875012964
11,26,234122,iterative,True,1491,0.124,4.387099332991056
11,26,389833,iterative,True,1454,0.124,4.7149461670196615
11,27,12131,iterative,True,1400,0.118,6.1042534580337815
11,27,234122,iterative,True,1543,0.12812812812812813,4.349985875014681
11,27,389833,iterative,True,1528,0.12312312312312312,4.492720042006113
11,28,12131,iterative,True,1455,0.122,4.8342817080556415
11,28,234122,iterative,True,1472,0.12487512487512488,4.1613114579813555
11,28,389833,iterative,True,1491,0.12312312312312312,4.381254417006858
11,29,12131,iterative,True,1426,0.121,4.886978666996583
11,29,234122,iterative,True,1460,0.12387612387612387,5.185055250010919
11,29,389833,iterative,True,1466,0.123,4.488027499988675
11,30,12131,iterative,True,1481,0.12124248496993988,4.207501625001896
11,30,234122,iterative,True,1452,0.12212212212212212,4.467579082993325
11,30,389833,iterative,True,1506,0.12787212787212787,4.313715416006744
11,31,12131,iterative,True,1410,0.12212212212212212,5.753255292016547
11,31,234122,iterative,True,1464,0.124,4.336999042017851
11,31,389833,iterative,True,1446,0.122,4.591427917010151
11,32,12131,iterative,True,1417,0.121,5.499834000016563
11,32,234122,iterative,True,1443,0.125250501002004,4.174337165954057
11,32,389833,iterative,True,1433,0.12424849699398798,4.504731709021144
11,33,12131,iterative,True,1457,0.123,4.881519709015265
11,33,234122,iterative,True,1407,0.119,4.957248665974475
11,33,389833,iterative,True,1436,0.121,5.355280584015418
11,34,12131,iterative,True,1401,0.12324649298597194,4.9440724170417525
11,34,234122,iterative,True,1391,0.11688311688311688,6.748092083027586
11,34,389833,iterative,True,1405,0.12112112112112113,5.23063354199985
11,35,12131,iterative,True,1410,0.119,6.07869779196335
11,35,234122,iterative,True,1390,0.121,5.592135457962286
11,35,389833,iterative,True,1403,0.119358074222668,6.116025416995399
11,36,12131,iterative,True,1398,0.12312312312312312,6.028072833956685
11,36,234122,iterative,True,1406,0.12412412412412413,5.944522249978036
11,36,389833,iterative,True,1410,0.124750499001996,5.480257082963362
11,37,12131,iterative,True,1391,0.11888111888111888,8.034056167001836
11,37,234122,iterative,True,1388,0.12,6.988357125024777
11,37,389833,iterative,True,1401,0.12212212212212212,6.229844249959569
11,38,12131,iterative,True,1378,0.12,8.57378895796137
11,38,234122,iterative,True,1364,0.11764705882352941,12.632644458964933
11,38,389833,iterative,True,1377,0.12087912087912088,8.53867633297341
11,39,12131,iterative,True,1357,0.11723446893787576,12.809613624995109
11,39,234122,iterative,True,1389,0.11947791164658635,9.443204667011742
11,39,389833,iterative,True,1384,0.12124248496993988,8.964175582979806
11,40,12131,iterative,True,1344,0.11676646706586827,13.57599708304042
11,40,234122,iterative,True,1378,0.11888111888111888,9.89241404196946
11,40,389833,iterative,True,1364,0.11864406779661017,10.820474625041243
11,41,12131,iterative,True,1325,0.11611611611611612,16.088583250006195
11,41,234122,iterative,True,1356,0.11488511488511488,16.115277499950025
11,41,389833,iterative,True,1368,0.117,15.620740917045623
11,42,12131,iterative,True,1341,0.11623246492985972,29.924451375030912
11,42,234122,iterative,True,1364,0.12024048096192384,16.67021820798982
11,42,389833,iterative,True,1377,0.121,15.330940291984007
11,43,12131,iterative,True,1343,0.11788211788211789,25.048868749989197
11,43,234122,iterative,True,1350,0.11823647294589178,30.129337334015872
11,43,389833,iterative,True,1364,0.11688311688311688,35.9500526660122
11,44,12131,iterative,True,1349,0.11811811811811812,50.96248037501937
11,44,234122,iterative,True,1328,0.11711711711711711,43.743544000026304
11,44,389833,iterative,True,1371,0.11523046092184369,41.05187966697849
11,45,12131,iterative,True,1324,0.11688311688311688,68.11102974996902
