nagents,nitems,seed,min_bundles_strategy,parallel,utility_sum,min_proportional_utility,runtime
23,23,12131,iterative,True,1690,0.04395604395604396,50.71894416597206
23,23,234122,iterative,True,1741,0.043912175648702596,30.055236708023585
23,23,389833,iterative,True,1809,0.046906187624750496,48.784452542022336
23,24,12131,iterative,True,1652,0.044044044044044044,33.87742845801404
23,24,234122,iterative,True,1675,0.052947052947052944,9.646730000036769
23,24,389833,iterative,True,1709,0.051,16.40160725003807
23,25,12131,iterative,True,1638,0.051,16.63303987501422
23,25,234122,iterative,True,1738,0.05194805194805195,12.644690166984219
23,25,389833,iterative,True,1719,0.05205205205205205,9.509019916993566
23,26,12131,iterative,True,1587,0.05089820359281437,25.47839262499474
23,26,234122,iterative,True,1696,0.06006006006006006,6.834742915991228
23,26,389833,iterative,True,1680,0.056943056943056944,10.64020841702586
23,27,12131,iterative,True,1675,0.05405405405405406,33.01305820798734
23,27,234122,iterative,True,1753,0.058941058941058944,7.54209775000345
23,27,389833,iterative,True,1703,0.06006006006006006,13.788585459056776
23,28,12131,iterative,True,1629,0.056943056943056944,20.881746000028215
23,28,234122,iterative,True,1685,0.057,9.403997000015806
23,28,389833,iterative,True,1651,0.055055055055055056,13.29474666598253
23,29,12131,iterative,True,1665,0.057,21.716095249983482
23,29,234122,iterative,True,1651,0.05405405405405406,13.173212624969892
23,29,389833,iterative,True,1718,0.058,11.949570083001163
23,30,12131,iterative,True,1696,0.058,18.405650082975626
23,30,234122,iterative,True,1674,0.06212424849699399,13.29113058297662
23,30,389833,iterative,True,1649,0.057942057942057944,11.54296783299651
23,31,12131,iterative,True,1613,0.05917753259779338,17.723415125044994
23,31,234122,iterative,True,1663,0.062,10.31043775001308
23,31,389833,iterative,True,1670,0.059940059940059943,27.657530915981624
23,32,12131,iterative,True,1672,0.05905905905905906,42.146527124976274
23,32,234122,iterative,True,1662,0.06293706293706294,7.539859084005002
23,32,389833,iterative,True,1714,0.0592964824120603,23.52574358304264
23,33,12131,iterative,True,1710,0.058,110.6324306249735
