nagents,nitems,seed,algorithm,utility_sum,min_proportional_utility,runtime
8,8,165043187,maximally_proportional_allocation,1502,0.127,0.0475886670028558
8,8,165043187,round_robin,1544,0.097,0.0001424169895472005
8,8,217107415,maximally_proportional_allocation,1577,0.0,0.10337779200926889
8,8,217107415,round_robin,1570,0.01001001001001001,0.00014937500236555934
8,8,970775402,maximally_proportional_allocation,1407,0.14385614385614387,0.04076933300530072
8,8,970775402,round_robin,1409,0.01701701701701702,0.0001475830067647621
8,8,2154093945,maximally_proportional_allocation,1590,0.13913913913913914,0.05120912499842234
8,8,2154093945,round_robin,1540,0.132,0.00017920800019055605
8,8,2600196075,maximally_proportional_allocation,1425,0.152,0.1031730830000015
8,8,2600196075,round_robin,1378,0.078,0.00016012501146178693
8,9,165043187,maximally_proportional_allocation,1557,0.0,0.1510947920032777
8,9,165043187,round_robin,1545,0.109,0.00016258300456684083
8,9,217107415,maximally_proportional_allocation,1527,0.128,0.0358716250048019
8,9,217107415,round_robin,1441,0.09009009009009009,0.00016779100405983627
8,9,970775402,maximally_proportional_allocation,1465,0.151,0.048100500003783964
8,9,970775402,round_robin,1433,0.07407407407407407,0.0001594159984961152
8,9,2154093945,maximally_proportional_allocation,1447,0.15430861723446893,0.05961108300834894
8,9,2154093945,round_robin,1400,0.06293706293706294,0.00015912500384729356
8,9,2600196075,maximally_proportional_allocation,1528,0.165,0.03832158299337607
8,9,2600196075,round_robin,1351,0.09919839679358718,0.0001627910096431151
8,10,165043187,maximally_proportional_allocation,1409,0.13213213213213212,0.15735445900645573
8,10,165043187,round_robin,1420,0.068,0.00016891599807422608
8,10,217107415,maximally_proportional_allocation,1585,0.147,0.045572499991976656
8,10,217107415,round_robin,1638,0.081,0.00016987499839160591
8,10,970775402,maximally_proportional_allocation,1479,0.14,0.23347120800463017
8,10,970775402,round_robin,1527,0.117,0.0001744170003803447
8,10,2154093945,maximally_proportional_allocation,1515,0.16383616383616384,0.0889832089887932
8,10,2154093945,round_robin,1376,0.0960960960960961,0.00016879200120456517
8,10,2600196075,maximally_proportional_allocation,1502,0.153,0.05182362499181181
8,10,2600196075,round_robin,1470,0.13086913086913088,0.00017091700283344835
8,11,165043187,maximally_proportional_allocation,1569,0.156,0.07012604099872988
8,11,165043187,round_robin,1504,0.06693306693306693,0.00018149999959859997
8,11,217107415,maximally_proportional_allocation,1583,0.154,0.19117433299834374
8,11,217107415,round_robin,1584,0.12312312312312312,0.00020779200713150203
8,11,970775402,maximally_proportional_allocation,1381,0.14385614385614387,0.2305786250071833
8,11,970775402,round_robin,1376,0.11288711288711288,0.00021112500689923763
8,11,2154093945,maximally_proportional_allocation,1393,0.134,0.3046067909890553
8,11,2154093945,round_robin,1552,0.133,0.0002204999909736216
8,11,2600196075,maximally_proportional_allocation,1426,0.136,0.23434350000752602
8,11,2600196075,round_robin,1385,0.08083832335329341,0.0002054170035989955
8,12,165043187,maximally_proportional_allocation,1455,0.145,0.05371704099525232
8,12,165043187,round_robin,1439,0.069,0.0002046250010607764
8,12,217107415,maximally_proportional_allocation,1577,0.159,0.14341291700839065
8,12,217107415,round_robin,1407,0.07992007992007992,0.0001907920086523518
8,12,970775402,maximally_proportional_allocation,1455,0.15430861723446893,0.09179270900494885
8,12,970775402,round_robin,1495,0.10589410589410589,0.0001890419953269884
8,12,2154093945,maximally_proportional_allocation,1435,0.139,0.055460416988353245
8,12,2154093945,round_robin,1477,0.1018981018981019,0.00018679200729820877
8,12,2600196075,maximally_proportional_allocation,1497,0.15,0.14779920800356194
8,12,2600196075,round_robin,1489,0.0960960960960961,0.000189124999451451
8,13,165043187,maximally_proportional_allocation,1530,0.165,0.1053160419978667
8,13,165043187,round_robin,1533,0.083,0.00019579200306907296
8,13,217107415,maximally_proportional_allocation,1469,0.148,0.18394741699739825
8,13,217107415,round_robin,1755,0.11388611388611389,0.00019991700537502766
8,13,970775402,maximally_proportional_allocation,1426,0.14614614614614616,0.24798537499736995
8,13,970775402,round_robin,1420,0.07092907092907093,0.0002472500054864213
8,13,2154093945,maximally_proportional_allocation,1428,0.142,0.530565207998734
8,13,2154093945,round_robin,1592,0.11811811811811812,0.00020408300042618066
8,13,2600196075,maximally_proportional_allocation,1431,0.16816816816816818,0.2734969160082983
8,13,2600196075,round_robin,1459,0.09090909090909091,0.00019637499644886702
8,14,165043187,maximally_proportional_allocation,1463,0.15284715284715283,0.20499862500582822
8,14,165043187,round_robin,1571,0.09880239520958084,0.00020004200632683933
8,14,217107415,maximally_proportional_allocation,1492,0.15784215784215785,0.21183591699809767
8,14,217107415,round_robin,1591,0.119,0.00020037499780301005
8,14,970775402,maximally_proportional_allocation,1559,0.169,0.11207249999279156
8,14,970775402,round_robin,1532,0.096,0.00020349999249447137
8,14,2154093945,maximally_proportional_allocation,1522,0.16516516516516516,0.10341920898645185
8,14,2154093945,round_robin,1698,0.11776447105788423,0.0002100420097121969
8,14,2600196075,maximally_proportional_allocation,1496,0.15584415584415584,0.09385304100578651
8,14,2600196075,round_robin,1602,0.12787212787212787,0.00020483401021920145
8,15,165043187,maximally_proportional_allocation,1414,0.16183816183816183,0.20785316701221745
8,15,165043187,round_robin,1482,0.08982035928143713,0.0002071250055450946
8,15,217107415,maximally_proportional_allocation,1415,0.15415415415415415,0.09052845800761133
8,15,217107415,round_robin,1552,0.109,0.00021050000214017928
8,15,970775402,maximally_proportional_allocation,1470,0.16616616616616617,0.32886954200512264
8,15,970775402,round_robin,1389,0.1038961038961039,0.0002177499991375953
8,15,2154093945,maximally_proportional_allocation,1414,0.144,0.17946741699415725
8,15,2154093945,round_robin,1474,0.1061061061061061,0.00021308299619704485
8,15,2600196075,maximally_proportional_allocation,1484,0.17417417417417416,0.1372521669982234
8,15,2600196075,round_robin,1468,0.08782435129740519,0.00020991699420847
8,16,165043187,maximally_proportional_allocation,1431,0.16316316316316315,0.2820709160005208
8,16,165043187,round_robin,1435,0.12324649298597194,0.0002200410090154037
8,16,217107415,maximally_proportional_allocation,1459,0.15884115884115885,0.1790182920085499
8,16,217107415,round_robin,1486,0.096,0.0002331669966224581
8,16,970775402,maximally_proportional_allocation,1497,0.16067864271457086,0.17061995799303986
8,16,970775402,round_robin,1457,0.13672654690618763,0.00021191700943745673
8,16,2154093945,maximally_proportional_allocation,1576,0.177,0.03467916700174101
8,16,2154093945,round_robin,1634,0.14,0.00022541600628755987
8,16,2600196075,maximally_proportional_allocation,1474,0.166,0.34335724999255035
8,16,2600196075,round_robin,1498,0.13586413586413587,0.0002202500036219135
8,17,165043187,maximally_proportional_allocation,1497,0.17082917082917082,0.13771129101223778
8,17,165043187,round_robin,1642,0.15015015015015015,0.00023175000387709588
8,17,217107415,maximally_proportional_allocation,1540,0.172,0.16301012500480283
8,17,217107415,round_robin,1611,0.12712712712712712,0.00022420800814870745
8,17,970775402,maximally_proportional_allocation,1576,0.16916916916916916,0.20842416599043645
8,17,970775402,round_robin,1461,0.12375249500998003,0.00022179199731908739
8,17,2154093945,maximally_proportional_allocation,1486,0.174,0.17030958400573581
8,17,2154093945,round_robin,1651,0.152,0.00023591599892824888
8,17,2600196075,maximally_proportional_allocation,1448,0.16950852557673018,0.2972978750040056
8,17,2600196075,round_robin,1490,0.154,0.0002304579975316301
8,18,165043187,maximally_proportional_allocation,1473,0.15484515484515485,0.36187395799788646
8,18,165043187,round_robin,1542,0.13986013986013987,0.00024254099116660655
8,18,217107415,maximally_proportional_allocation,1531,0.16183816183816183,0.08269379200646654
8,18,217107415,round_robin,1670,0.14514514514514515,0.00023950000468175858
8,18,970775402,maximally_proportional_allocation,1519,0.16483516483516483,0.11494008300360292
8,18,970775402,round_robin,1534,0.12187812187812187,0.00023954200150910765
8,18,2154093945,maximally_proportional_allocation,1455,0.17017017017017017,0.1247008329955861
8,18,2154093945,round_robin,1555,0.16216216216216217,0.00023029200383462012
8,18,2600196075,maximally_proportional_allocation,1492,0.166,0.10208841599524021
8,18,2600196075,round_robin,1527,0.135,0.00023916599457152188
8,19,165043187,maximally_proportional_allocation,1483,0.17065868263473055,0.1472396250028396
8,19,165043187,round_robin,1654,0.14171656686626746,0.00024850000045262277
8,19,217107415,maximally_proportional_allocation,1480,0.16816816816816818,0.17638474999694154
8,19,217107415,round_robin,1652,0.134,0.00024249999842140824
8,19,970775402,maximally_proportional_allocation,1544,0.17182817182817184,0.07120108400704339
8,19,970775402,round_robin,1612,0.13872255489021956,0.00024616700829938054
8,19,2154093945,maximally_proportional_allocation,1464,0.168,0.07581858300545719
8,19,2154093945,round_robin,1640,0.109,0.0002445419959258288
8,19,2600196075,maximally_proportional_allocation,1470,0.16367265469061876,0.1126343329960946
8,19,2600196075,round_robin,1590,0.15015015015015015,0.0002457089867675677
8,20,165043187,maximally_proportional_allocation,1437,0.16483516483516483,0.16364012499980163
8,20,165043187,round_robin,1657,0.15384615384615385,0.0002621669991640374
8,20,217107415,maximally_proportional_allocation,1458,0.17182817182817184,0.0860756659967592
8,20,217107415,round_robin,1679,0.139,0.0002577920095063746
8,20,970775402,maximally_proportional_allocation,1418,0.173,0.15887112499331124
8,20,970775402,round_robin,1498,0.147,0.0002613749966258183
8,20,2154093945,maximally_proportional_allocation,1477,0.172,0.12812000000849366
8,20,2154093945,round_robin,1541,0.14685314685314685,0.0002588749921415001
8,20,2600196075,maximally_proportional_allocation,1384,0.16316316316316315,0.25550783399376087
8,20,2600196075,round_robin,1504,0.12087912087912088,0.0002549170021666214
8,21,165043187,maximally_proportional_allocation,1438,0.168,0.1475658330018632
8,21,165043187,round_robin,1661,0.155,0.0002750420098891482
8,21,217107415,maximally_proportional_allocation,1423,0.16416416416416416,0.11936837500252295
8,21,217107415,round_robin,1573,0.12912912912912913,0.00027095900441054255
8,21,970775402,maximally_proportional_allocation,1430,0.16933867735470942,0.10425641600158997
8,21,970775402,round_robin,1550,0.124,0.00027445799787528813
8,21,2154093945,maximally_proportional_allocation,1429,0.16633266533066132,0.1431319999974221
8,21,2154093945,round_robin,1740,0.14228456913827656,0.0002582079905550927
8,21,2600196075,maximally_proportional_allocation,1412,0.16733466933867736,0.3149522080057068
8,21,2600196075,round_robin,1510,0.13413413413413414,0.0002716250019147992
8,22,165043187,maximally_proportional_allocation,1419,0.165,0.1695465829980094
8,22,165043187,round_robin,1582,0.13613613613613615,0.0002752089931163937
8,22,217107415,maximally_proportional_allocation,1420,0.165,0.27116929201292805
8,22,217107415,round_robin,1617,0.12512512512512514,0.0002755409950623289
8,22,970775402,maximally_proportional_allocation,1368,0.162,0.7060801670013461
8,22,970775402,round_robin,1514,0.139,0.00028545799432322383
8,22,2154093945,maximally_proportional_allocation,1434,0.167,0.15281845899880864
8,22,2154093945,round_robin,1640,0.15384615384615385,0.0002784169919323176
8,22,2600196075,maximally_proportional_allocation,1388,0.16383616383616384,0.21483658300712705
8,22,2600196075,round_robin,1520,0.15315315315315314,0.0002725829981500283
8,23,165043187,maximally_proportional_allocation,1380,0.15284715284715283,0.42841829200915527
8,23,165043187,round_robin,1572,0.16966067864271456,0.0002928750036517158
8,23,217107415,maximally_proportional_allocation,1388,0.16450648055832504,0.28698233398608863
8,23,217107415,round_robin,1627,0.13086913086913088,0.0002911670017056167
8,23,970775402,maximally_proportional_allocation,1367,0.16216216216216217,0.5902410830021836
8,23,970775402,round_robin,1539,0.12712712712712712,0.0002953749935841188
8,23,2154093945,maximally_proportional_allocation,1469,0.17117117117117117,0.12761454199790023
8,23,2154093945,round_robin,1704,0.16616616616616617,0.00028562499210238457
8,23,2600196075,maximally_proportional_allocation,1357,0.16283716283716285,0.3480823749996489
8,23,2600196075,round_robin,1575,0.125,0.0003038750000996515
8,24,165043187,maximally_proportional_allocation,1404,0.165,0.2503558750031516
8,24,165043187,round_robin,1651,0.15884115884115885,0.00030425000295508653
8,24,217107415,maximally_proportional_allocation,1368,0.16650049850448653,0.2890032079885714
8,24,217107415,round_robin,1624,0.15215215215215216,0.000298250000923872
8,24,970775402,maximally_proportional_allocation,1375,0.165,0.26679266699647997
8,24,970775402,round_robin,1542,0.15584415584415584,0.0003137500025331974
8,24,2154093945,maximally_proportional_allocation,1438,0.16483516483516483,0.19458141599898227
8,24,2154093945,round_robin,1693,0.17582417582417584,0.00031025000498630106
8,24,2600196075,maximally_proportional_allocation,1420,0.16683316683316685,0.3565410410083132
8,24,2600196075,round_robin,1629,0.156,0.00030175001302268356
8,25,165043187,maximally_proportional_allocation,1384,0.16148445336008024,0.4268988330004504
8,25,165043187,round_robin,1584,0.15,0.00031512499845121056
8,25,217107415,maximally_proportional_allocation,1383,0.163,0.23925970800337382
8,25,217107415,round_robin,1676,0.15815815815815815,0.000320332997944206
8,25,970775402,maximally_proportional_allocation,1381,0.16616616616616617,0.22733079199679196
8,25,970775402,round_robin,1612,0.16183816183816183,0.00030491700454149395
8,25,2154093945,maximally_proportional_allocation,1410,0.16583416583416583,0.2765894159965683
8,25,2154093945,round_robin,1639,0.17082917082917082,0.00031112499709706753
8,25,2600196075,maximally_proportional_allocation,1360,0.15615615615615616,0.4453061670064926
8,25,2600196075,round_robin,1601,0.17365269461077845,0.0003116250009043142
8,26,165043187,maximally_proportional_allocation,1396,0.16167664670658682,0.48962712500360794
8,26,165043187,round_robin,1718,0.16616616616616617,0.00032441600342281163
8,26,217107415,maximally_proportional_allocation,1389,0.16367265469061876,0.4390437080000993
8,26,217107415,round_robin,1691,0.16,0.0003216250042896718
8,26,970775402,maximally_proportional_allocation,1382,0.1624874623871615,0.5395244160026778
8,26,970775402,round_robin,1620,0.172,0.0003264580009272322
8,26,2154093945,maximally_proportional_allocation,1375,0.165,0.3583919170050649
8,26,2154093945,round_robin,1713,0.178,0.0003168340044794604
8,26,2600196075,maximally_proportional_allocation,1357,0.163,1.4723638330033282
8,26,2600196075,round_robin,1529,0.11477045908183632,0.00032408400147687644
8,27,165043187,maximally_proportional_allocation,1385,0.16316316316316315,0.6756405419873772
8,27,165043187,round_robin,1615,0.17282717282717283,0.00033708399860188365
8,27,217107415,maximally_proportional_allocation,1381,0.16016016016016016,0.6075157919985941
8,27,217107415,round_robin,1634,0.14114114114114115,0.00033850000181701034
8,27,970775402,maximally_proportional_allocation,1332,0.15768463073852296,0.8564567499997793
8,27,970775402,round_robin,1640,0.17935871743486975,0.0003393340011825785
8,27,2154093945,maximally_proportional_allocation,1375,0.159,0.4300950000033481
8,27,2154093945,round_robin,1748,0.17382617382617382,0.0003435420076129958
8,27,2600196075,maximally_proportional_allocation,1335,0.16032064128256512,0.9647852089983644
8,27,2600196075,round_robin,1600,0.16883116883116883,0.00034137500915676355
8,28,165043187,maximally_proportional_allocation,1343,0.16283716283716285,0.9063021249894518
8,28,165043187,round_robin,1635,0.15615615615615616,0.0003546249936334789
