nagents,nitems,seed,algorithm,utility_sum,min_proportional_utility,runtime
5,5,165043187,maximally_proportional_allocation,1184,0.0,0.022787084002629854
5,5,165043187,round_robin,1284,0.062,9.733399201650172e-05
5,5,217107415,maximally_proportional_allocation,1377,0.0,0.021692499998607673
5,5,217107415,round_robin,1314,0.055,9.845801105257124e-05
5,5,970775402,maximally_proportional_allocation,1370,0.238,0.009876291995169595
5,5,970775402,round_robin,1402,0.213,9.808300819713622e-05
5,5,2154093945,maximally_proportional_allocation,1171,0.0,0.02246695800567977
5,5,2154093945,round_robin,1321,0.078,9.787498856894672e-05
5,5,2600196075,maximally_proportional_allocation,1254,0.0,0.021502042000065558
5,5,2600196075,round_robin,1004,0.038,9.987500379793346e-05
5,6,165043187,maximally_proportional_allocation,1618,0.261,0.014738750003743917
5,6,165043187,round_robin,1125,0.08091908091908091,0.00010620900138746947
5,6,217107415,maximally_proportional_allocation,1538,0.234,0.02106304200424347
5,6,217107415,round_robin,1488,0.16916916916916916,0.00010204099817201495
5,6,970775402,maximally_proportional_allocation,1322,0.2012012012012012,0.04921087500406429
5,6,970775402,round_robin,1257,0.16916916916916916,0.00010437499440740794
5,6,2154093945,maximally_proportional_allocation,1391,0.2042042042042042,0.025030167002114467
5,6,2154093945,round_robin,1403,0.14914914914914915,0.00010679199476726353
5,6,2600196075,maximally_proportional_allocation,1438,0.2,0.032018625002820045
5,6,2600196075,round_robin,1373,0.14014014014014015,0.00011179099965374917
5,7,165043187,maximally_proportional_allocation,1315,0.238,0.016117624996695668
5,7,165043187,round_robin,1302,0.143,0.00011754200386349112
5,7,217107415,maximally_proportional_allocation,1266,0.2182182182182182,0.036120582997682504
5,7,217107415,round_robin,1439,0.13,0.00012154200521763414
5,7,970775402,maximally_proportional_allocation,1437,0.23376623376623376,0.029489458000171
5,7,970775402,round_robin,1383,0.178,0.00011866599379573017
5,7,2154093945,maximally_proportional_allocation,1387,0.208,0.02782529199612327
5,7,2154093945,round_robin,1165,0.12887112887112886,0.00011816600454039872
5,7,2600196075,maximally_proportional_allocation,1566,0.24075924075924077,0.021616625002934597
5,7,2600196075,round_robin,1499,0.1981981981981982,0.00011858399375341833
5,8,165043187,maximally_proportional_allocation,1416,0.247,0.028879791992949322
5,8,165043187,round_robin,1505,0.1998001998001998,0.00012404099106788635
5,8,217107415,maximally_proportional_allocation,1386,0.24675324675324675,0.023015874990960583
5,8,217107415,round_robin,1561,0.196,0.0001232089998666197
5,8,970775402,maximally_proportional_allocation,1392,0.24624624624624625,0.04373595799552277
5,8,970775402,round_robin,1531,0.243,0.00012804199650418013
5,8,2154093945,maximally_proportional_allocation,1473,0.23023023023023023,0.029059292006422766
5,8,2154093945,round_robin,1388,0.216,0.00012475000403355807
5,8,2600196075,maximally_proportional_allocation,1447,0.226,0.04869558400241658
5,8,2600196075,round_robin,1367,0.13413413413413414,0.00012608400720637292
5,9,165043187,maximally_proportional_allocation,1447,0.231,0.08033937501022592
5,9,165043187,round_robin,1347,0.116,0.00013158399087842554
5,9,217107415,maximally_proportional_allocation,1366,0.23647294589178355,0.1420540830004029
5,9,217107415,round_robin,1580,0.23647294589178355,0.00013862500782124698
5,9,970775402,maximally_proportional_allocation,1432,0.275,0.03005391599435825
5,9,970775402,round_robin,1401,0.14829659318637275,0.00013291700452100486
5,9,2154093945,maximally_proportional_allocation,1472,0.24275724275724275,0.08840179099934176
5,9,2154093945,round_robin,1457,0.1938061938061938,0.00013358300202526152
5,9,2600196075,maximally_proportional_allocation,1468,0.25125125125125125,0.030605791995185427
5,9,2600196075,round_robin,1507,0.15915915915915915,0.00013283400039654225
5,10,165043187,maximally_proportional_allocation,1339,0.233,0.06751820800127462
5,10,165043187,round_robin,1405,0.1891891891891892,0.00014000000373926014
